GSM1676853	GSM1676854	GSM1676855	GSM1676856	GSM1676857	GSM1676858	GSM1676859	GSM1676860	GSM1676861	GSM1676862	GSM1676863
2049	-1.975375765	-5.6568177	-1.979135958	-2.576588916	0.789026887	-0.176091469	-0.805998068	-3.120703871	-1.088077585	-2.504174584	-0.238350895
2101	0.614585156	2.158415297	2.055853008	1.502408036	-1.871736413	0.463017367	0.773632538	0.249791261	-0.540348337	1.490627301	-0.080367136
2140	-1.232036228	-2.26164084	-0.918906464	-2.674857903	-1.943667632	-1.550756992	-0.663053093	-0.616519029	-1.850258419	-2.619489166	-1.396518183
220136	-0.164166452	-1.864559759	0.908775234	0.865550716	-0.7792887	0.183460519	-0.858968315	0.238446172	0.320953297	0.11764135	-0.598552269
221264	1.554521203	-0.384891653	1.031910514	-0.118872238	0.308687908	1.508596973	0.301169038	-0.14092505	1.766710196	1.107210428	1.933457867
23170	3.164658102	3.560142223	3.636515734	2.952553396	3.079480792	3.159111358	3.753844561	3.37247778	3.450413725	3.384829209	4.043399731
255057	-0.602413882	0.189182941	0.895898419	-2.638167015	1.253692914	0.702375831	-1.294091049	-0.582611385	-0.379458881	-1.241807399	1.172821173
256130	1.379735422	0.558343509	-0.105032789	1.459293885	0.238536104	0.904731699	1.57892036	0.754451161	2.299577297	0.995308582	2.003909783
260429	-2.652609093	0.168639742	-3.034203227	-2.704532534	-2.334617279	-1.606953992	0.108525217	-1.519393726	-0.947125709	-1.38342324	-2.240270909
266675	-3.125674188	0.061548939	-1.371569772	-0.162589125	-2.398375583	-1.242835878	0.884452495	0.429428346	-1.274574567	-2.410835952	-2.542712003
283375	1.765712787	1.819926509	0.522582515	0.173469306	2.874051089	0.174438827	1.347856241	0.812570142	2.634793189	1.703708962	2.711740171
2978	1.402664415	-0.664741634	0.473923072	0.675796765	-0.494329984	-0.769108558	2.801508591	2.67479301	2.940654531	1.88234786	0.954834665
29883	-1.346336154	-1.763434313	1.488581943	0.465950733	1.474130422	-2.697863672	0.488149273	-1.849701029	-0.983522443	-1.15801989	0.716677345
3233	0.878394733	0.872612105	-0.063289416	1.489736539	2.332184269	2.27885337	0.845477132	0.463148512	1.146972128	1.143377822	1.801817932
3310	0.973026408	-1.509701482	0.308744988	-0.034009499	0.787179408	-1.041162469	0.922127451	0.05983768	-0.085872845	1.4421279	-2.366093711
4238	1.266771895	2.739087735	-0.71546887	2.087068414	0.421990964	0.726053693	1.017030923	1.984286188	1.008044177	2.702395107	0.703206276
5150	1.998026571	-1.98629348	0.94403035	1.383204434	0.231769867	1.025201431	-1.236208451	1.614305083	-1.287835368	0.082430582	0.59887843
54899	-1.025524549	0.566247904	-0.824574143	-0.620750856	-1.635468653	0.514445638	-1.613175949	1.138985721	-1.664687276	1.536254735	0.415107932
54965	0.629658909	0.630881521	1.005980989	-0.059762414	0.847948881	-0.159368514	1.102043929	0.694937022	0.798673348	-1.403471141	0.031445663
5594	-0.578561056	0.437202896	-0.292106972	-2.196980881	-1.248439086	1.03022312	-0.068630982	-1.363869293	0.189983563	-1.667933928	0.281073302
57617	0.242969266	1.114637681	2.555011514	2.417439113	-0.054133265	1.082761664	2.592416572	2.171721857	1.939153752	1.127685535	-0.323258406
5930	-0.771835153	-0.861029739	-2.370542863	-0.176516894	1.764392335	0.715675914	-0.116830065	0.988412386	1.075658415	1.426431727	-1.97538979
5982	-1.970236157	-1.830504389	-1.90539242	-0.739671018	-2.206676644	0.001420198	-2.130025289	-3.73639582	-0.112617813	-3.312178295	-1.333292585
6352	-0.051076909	-1.884410862	-2.663200329	-1.160251128	-0.523399388	-0.12954294	-2.097138939	-0.563009369	-3.317216206	0.639983242	-1.286141959
7067	-1.838405885	-4.001814902	-2.549807147	-3.765421024	-3.932992512	-2.605830109	-2.350715631	-1.7930434	-1.537917187	-3.289537358	-1.899272187
7318 /// 100847079	-0.170898548	-0.060040446	0.330689278	-1.164744056	-1.622215494	-0.799668128	0.063266109	0.149001772	1.369912859	1.837285633	1.219883799
780 /// 100616237	3.130758228	3.691137486	4.001991084	3.928232509	2.75135259	3.612732837	3.423418778	3.39245755	2.83606694	2.660886948	0.805743426
7849	-3.009008223	-4.718245099	-4.798927363	-3.964783947	-2.838112815	-1.717936573	-4.562797828	-4.630303781	-3.038281838	-2.55279423	-3.002129669
79844 /// 653082	3.783408165	3.370925011	2.949518993	3.732161236	2.677466525	3.023072805	3.710222049	3.290533244	3.873225246	2.819188052	2.510501507
80274 /// 150378	-1.301561593	-2.656258422	-2.916493047	-1.978397597	-1.342202095	-2.816946821	-1.97638699	-1.626579202	-2.671205692	-0.854694698	-1.419328946
84449	-0.852665675	-0.019901412	-0.910845809	-3.828948854	-1.197740492	-0.254733025	-0.64451771	-1.829438694	-2.681315147	0.75633032	0.680670276
84839	0.430344164	1.564883301	1.458572386	1.515667353	-0.44323004	0.591391702	0.18888716	-0.301156815	1.44834073	1.4149706	0.369036081
84920	0.638153522	-2.082232045	-0.773441547	-0.578239979	-0.416326937	-2.829023318	0.847380699	-1.307769709	-2.102223231	0.126957449	-1.786560869
84940	3.429225158	4.286503522	4.156016715	3.894496068	3.637057411	3.678279826	4.320389412	4.524563845	4.128725974	3.448210159	4.256523873
85477	1.936940788	-0.65095189	2.500864887	0.82142863	-0.431794567	1.789915142	2.334184245	1.22086399	-1.277984786	0.311291288	-0.916745437
85478	-1.398756693	-2.076596553	0.328166386	-3.394004004	0.254255934	0.430209885	-1.957015965	-1.947668062	-1.713028581	-1.734661883	0.558188918
90423	-1.858586645	-2.127656228	-2.34592154	-3.473042538	-2.427439836	-2.396015094	-2.048581807	-2.085412136	-1.70865457	-1.641587541	-1.036098575
91252	3.208686211	3.773380717	3.627560704	2.910757327	2.861848539	2.772485322	4.063018445	3.194105525	3.816120752	3.222397463	4.125790891
91283	-1.360094332	1.858593161	0.369157578	1.749799134	-0.106534996	0.842589687	-1.313396992	-1.698658833	0.610732251	0.676959505	-0.592684112
91624	-0.066791919	1.872364311	1.294577756	-0.457267586	1.102703111	0.554933865	1.380103786	-0.028990099	1.077314576	0.337467117	-1.686482597
91937	-1.514817739	-2.190618391	-2.222385931	0.02610689	-1.353834587	-1.056269692	0.873152547	-1.791550779	0.196351087	-1.796569479	-2.169967122
92806	0.6061211	-1.579130116	0.476727738	-0.31482934	-2.29587746	0.282983828	0.485792718	-1.756718506	-1.39591702	-0.771511939	-0.257795365
949	0.139481178	-2.108380682	-1.782448609	0.330848808	-1.945806823	-0.692726132	-2.050540218	-1.849943211	-2.323508783	-1.194025574	-0.542431395
9946	0.313508328	-0.223738986	1.534297076	-0.467682828	1.228198643	-0.283262623	-2.294434983	1.571767506	-1.705516565	-2.439882423	0.787258167
1	1.400568363	1.647737366	1.49434234	0.498950266	1.616168045	0.793166079	1.739982117	2.628962119	1.791116064	0.09806959	1.490168144
10	-1.48444144	-1.012769372	-1.325366674	-3.764241986	0.774433123	-0.614717343	-1.755453816	0.601000867	-1.4701126	-1.569542442	-0.88584232
100	-1.749949628	-2.931349461	0.256103371	-2.042228158	-0.774929495	-1.973100651	-0.579952437	0.340055854	-2.748570658	-3.111064363	-3.07489505
1000	-0.968974501	-0.139491056	-0.635438507	0.31209751	-1.19570092	-1.295297167	-0.346757665	-1.202617738	-1.177549761	-1.614356165	-2.109901315
10000	0.765298023	-0.58996813	-0.383607698	1.303069084	1.618010216	1.763023208	-0.770746049	-0.446603218	0.467556797	-0.237550944	1.559236865
100009676	-2.000206117	0.083861841	-1.879697658	-0.659914171	0.202936937	-0.25492186	0.000301813	-1.952973218	-2.225881297	-2.412524647	-1.291739667
10001	-1.678378628	0.196905373	-0.231894887	0.433363673	-2.026628797	0.230553831	1.531195089	-0.68919807	-1.610508742	-1.691608074	-1.187447378
10002	-2.029791837	-2.293929846	-1.789023062	-2.503773573	-2.138727394	-0.618781102	-0.555470096	-1.792396988	-2.729498907	-1.036994468	-0.7724287
10003	-0.448235088	-0.890766828	0.740083822	-2.778022247	0.187367226	-0.275245633	-2.39112911	-0.509810163	-2.248890853	-3.620250907	-1.730460809
10004	1.778281546	1.409714771	2.714196807	1.768158668	-0.829035716	0.668186232	1.847072443	-0.881902909	2.131341151	1.902505204	1.484408901
100048912	-2.819347384	-3.160925411	-2.134668566	-2.985884668	-3.476283827	-2.040627165	-1.748846681	-2.337788132	0.531558766	-0.015949415	0.238198334
100049716	0.809699161	1.92410565	-2.042635173	0.412741299	-1.164290513	-2.269210958	-0.406937225	1.386891677	0.856269417	0.547405676	-0.314694783
10005	-1.604342567	0.681341184	1.046242119	1.095364078	1.596781217	2.005058436	2.065072224	1.972881687	1.890327317	1.881429776	-0.081218129
10006	-2.234320691	-3.681458027	-2.757149282	-3.730899707	-1.472102885	-1.319747533	-2.879957103	-1.792799854	-3.117501929	-3.068162928	-2.942427644
10007	-1.658159161	2.061209315	2.748186426	2.101054823	0.723130749	1.342694114	2.323921959	1.775393077	1.094897315	0.156495257	1.484967611
10008	-2.507830924	-2.500796299	-2.104193138	-3.35398417	-1.348401751	-1.458329169	-4.373029786	-3.452714434	-3.550319066	-3.477550349	-2.535919003
10009	-2.063034938	-1.55947118	-2.343562773	-2.430309433	-1.799492044	-0.744251392	-2.532161608	-1.512923586	-1.486067711	-0.584675231	-1.949506672
100093698	-1.508619099	-1.004562485	-3.418629284	-3.180564687	-0.834809156	-1.272322934	-3.592822562	-2.629343214	0.098266435	-1.213866339	-2.528687149
1001	-1.956738463	-1.546493281	-1.946695165	-1.799400804	-3.11733558	-3.054188795	-2.702622657	-2.177102447	-2.631224262	-2.223791469	-2.788788189
10010	0.632271274	-1.935423972	-2.300199074	-0.111867357	0.830634432	-0.159570136	-2.139057434	-0.840884474	-1.862808906	-1.486515978	-0.34849335
100101266	0.694647239	1.255621744	-0.584254869	1.540168561	1.707319083	1.680224966	1.580986097	2.011590192	1.314437734	0.671765868	1.389965194
100101267	0.821168993	1.229309198	-1.180141229	1.847982351	0.849891876	0.270773274	0.259906798	2.078184393	1.569852841	-0.000663198	1.108297631
100101467	-1.747714366	-1.225701762	-2.176378144	-4.315575578	-0.836142693	-3.315287864	-0.219068124	0.469351317	-0.347971864	-0.913304891	-1.535126529
100101938	-0.197381155	-1.16555167	-2.480611339	-1.070281855	0.959462583	0.629863837	-0.602957938	-1.708615514	0.612773021	0.624803964	1.796811742
10011	-1.131372953	-0.924094275	0.930818994	-0.950560234	-2.205595501	-1.29785441	-1.574444599	0.177067254	-1.032085321	-2.405833905	-3.728539907
100113403	0.775113089	0.356668078	1.523030179	-2.443619064	-1.6821676	-0.075453644	-0.130968593	-0.886988795	-0.681843862	-1.180807182	-1.492466532
100113407	3.82965756	3.625617969	3.775187622	3.77936647	3.035868632	2.402845175	3.797740707	3.225726409	3.837535789	3.077707364	4.10106903
100124700	-0.978709377	-2.412268289	-0.262521603	-2.470432892	-0.264905471	-1.714068978	-2.534561345	-2.479388172	-1.31503965	0.137647574	-2.542309105
100125288	-3.699459217	-4.113825815	-5.188097185	-4.44154146	-2.608320666	-3.188255743	-4.946819284	-4.772601715	-4.266348262	-2.975041145	-4.360004262
100126784	-0.366206318	1.982788881	1.998088002	1.937527617	0.413892516	-1.121163172	1.711344821	1.958639263	1.920855635	-0.623378945	0.645618715
100126791	-2.796710403	-2.099253924	-1.848932236	-1.021377969	-1.00136839	0.270213242	-2.544115541	-2.817942183	-1.188652172	-2.463801087	-0.607790998
100126793	-0.030468383	-1.990904209	-1.224264771	-0.194844633	-2.363491877	0.934581287	-1.85132221	-1.419259524	-1.626761218	-1.169095054	-1.721573459
100127886	-1.067007596	-2.480894248	0.023177052	-0.17025362	-0.367260874	-0.303801976	-3.527542134	-2.498517063	-2.196355253	-0.27198595	-2.55704541
100127888	-2.033509647	0.54780567	0.341636944	0.760070176	0.42606265	0.653234885	0.042693963	1.480779697	1.09008651	0.650687416	1.460426264
100127940	0.785748658	0.669272441	-1.740158353	1.422403366	0.355935634	1.967748914	0.197790924	-0.741482036	2.586106518	-0.37273823	1.742838063
100127950	0.076346362	-2.572489719	-0.555910217	-0.202120408	0.278541884	0.138226915	-1.31373863	-0.170295707	-2.289660416	1.4268874	-1.200147884
100127955 /// 100128374	1.317448463	0.620920125	1.413180424	0.389757953	0.556408657	0.397842902	-1.681847382	-2.201248581	-0.90254735	1.735706104	-0.879137917
100127972	-0.132855956	-1.034046438	-0.602792487	-0.304265011	-0.111959869	1.018544908	-0.503391976	-2.177529493	-1.426218496	0.146111312	-1.946113545
100127974	-1.474012156	-1.210933498	-1.500545818	-1.387306887	-0.027674561	-1.74716435	0.414081477	-0.605438779	0.255759757	-0.887689494	-2.083222432
100127983	0.201156737	1.395643423	-1.880476652	-0.413436621	0.561564611	-1.364756932	-0.163346947	-1.849251711	0.343093079	-1.651417932	-0.800392993
100128025	-2.980098686	-2.691087322	-3.995925422	-5.188710794	-0.987224541	-2.148857018	-2.038946356	-3.329630478	-3.887961722	-1.871645649	0.756663673
100128046	-3.064208458	-0.766767631	-1.765262206	-3.435337208	-1.602469309	-1.655181523	-3.07701713	-2.648657613	-3.389650427	0.384778221	-2.03304095
100128071	-1.456875573	-1.955571115	-2.758711758	-0.907102881	-0.677369489	-0.959678289	0.142833277	-1.294604566	1.144190114	0.30644223	-0.988799227
100128079	0.848796446	1.496026246	-0.121793421	1.312579563	0.502545751	1.038262296	1.410961253	1.666077167	0.840422833	1.896016524	0.451082812
100128081	-3.358507399	1.560405236	-0.196034631	-0.070404161	-2.105475396	-3.050187747	1.491640806	1.467571009	1.61308832	-3.793478712	-0.208464725
100128098	-2.219881806	-2.31114092	-1.770808097	-4.357092445	-2.68686481	-2.148736369	-3.34360621	-0.048883374	-3.476344935	-1.387335572	-1.246368972
100128108	-1.740042927	-3.270224986	-0.08456132	-4.240849553	-1.644382097	-2.429182228	-2.990555253	-1.490218698	-0.775937211	-3.182457221	-2.614149851
100128124	-1.143728654	-1.421678381	-0.746613824	-0.091925407	-0.391007376	-1.613802424	-2.599767816	-1.561282562	-1.207480436	-0.889540824	-0.109489726
100128126	-0.921668364	-0.775256764	-1.034690569	1.338567173	0.141409844	-1.16039536	-1.086036721	1.719959931	0.29936853	-0.407658592	0.049366485
100128139	-2.220660657	-3.981394251	-2.690185868	-2.810586138	-0.761039981	-1.917905158	-2.571581024	-3.337070826	-1.78413596	-2.18393162	0.054716848
100128164	0.660036314	-1.439512044	-1.737485822	-1.396933156	-1.920131662	-2.208957706	-0.885629267	-1.696560722	-0.691078145	-1.783717897	-0.453220618
100128175	-2.243108756	-3.889455539	-3.743403363	-3.956243251	-2.732580391	-2.664210863	-2.149801548	-2.847579344	-2.713526419	-3.110579783	-2.87416746
100128176	-1.751786553	-3.511614664	-2.524764206	-3.699980588	-1.893983981	-2.852198159	-2.429673572	-3.456399488	-2.990267091	-1.768599192	-2.863642556
100128185	-0.046055974	-1.30610797	-1.6084004	0.217474315	-1.96472037	-1.59898525	-0.179083057	-0.302089702	0.128348387	0.170162503	-1.401788803
100128191	-1.915350069	-4.181480177	-2.168684221	-3.917441527	-3.145419666	-1.879904179	-1.917751038	-3.652998065	-2.943683166	-0.918407944	-1.064865823
100128198	-2.074380668	-1.542087362	-0.808566841	-2.27523181	-2.733782036	-2.361565191	-3.012733224	-0.987668725	-1.196993292	0.33233516	-1.304932303
100128202 /// 101929344	-1.018671747	0.138478237	-1.42733586	0.704339199	-0.774305749	1.098327775	-1.194176404	0.145559696	1.454410978	-2.18929772	-1.495587931
100128236	-1.187230469	-1.458912062	-0.807808048	-1.973405722	0.451481369	-0.733958811	-2.34245876	-0.16638732	-0.094227598	1.189382905	-1.551798632
100128239	-1.623171383	-3.31424803	-2.040480673	-1.295336032	-1.158614034	-2.923102593	-1.969388725	-3.613064822	-1.749213374	-1.772127674	-1.444489876
100128252	3.449935021	3.735849232	3.035981014	3.220046374	2.278087827	2.557077556	3.797367181	3.881780089	4.760369552	3.57018718	3.743945963
100128262	-0.33119489	1.297735175	0.985644701	0.522107662	0.800076352	0.041744592	-0.316447791	-1.491759179	0.294266331	1.890450353	0.160909261
100128281	-0.77215364	-2.413898341	1.06881764	-2.685003961	-1.881812882	-1.886129515	-1.531505011	-1.051352608	-0.73852355	-1.424234947	-0.475292515
100128285	0.119065711	0.17192493	-2.399972415	-3.056118746	-1.133629754	-1.671531488	-1.376784582	-1.836182937	0.356993058	-1.303203299	-0.693261674
100128288	-0.925793212	-1.410660495	0.175255558	-1.676825617	-1.646460457	-1.413946055	0.907933598	-2.204173485	-1.128885464	-0.596211758	-2.259823617
100128292	1.102677157	-0.122309556	-0.745234092	1.011055717	0.101737918	0.795869999	0.270371149	-3.86433849	-1.235218951	0.386427401	1.223893767
100128298	1.056758757	1.852361421	1.305572916	2.417605513	0.975304526	2.076369657	1.942237722	0.615797756	1.395567173	2.415584788	1.984053254
100128325	2.191446522	0.728522746	0.14525884	2.080009458	0.677609227	0.605696509	1.557633329	0.887353664	1.010441668	0.038072435	2.364655847
100128327	0.310324048	0.730152496	0.533935712	0.928019164	1.442510817	0.709042213	1.008538388	-0.468025165	-0.542619296	1.5527694	-1.194915418
100128329	-1.457891407	0.380096407	-1.42616835	-1.688607742	-1.283052303	0.214679008	-0.290329486	-0.067777901	-0.445420828	-1.6266741	0.106300955
100128343	1.236043603	0.10475827	1.570998793	0.917568072	1.170384081	0.974106794	2.395703386	-1.195958928	0.192208804	1.666828458	1.055863421
100128420	0.737510922	0.686553175	-0.543006189	-1.683274701	0.89552227	1.062338556	-0.759954731	-0.068510796	-2.058118302	0.230179708	0.516233475
100128496	-0.435428604	1.37032468	-1.480848972	0.753046279	0.792358772	0.909278475	-0.973123486	-0.425823931	-1.285245662	0.846980437	-1.743272834
100128511	-2.245122617	-2.36034691	-2.050078964	-4.452969611	-0.355782615	-1.991530498	-1.414131417	-1.39293468	-1.871505774	-1.672000484	-2.644086514
100128554	-1.599980754	-2.838029289	-1.500886	-2.111178013	-1.629811993	-0.9241132	-2.819495934	-2.580305602	-1.874709831	-1.24844539	0.226834933
100128590	-3.115904959	-4.175290545	-4.358515265	-3.721221946	-2.325918232	-1.96709941	-1.147278157	-0.555069457	-1.981176386	-1.305912983	-1.584003299
100128594	-1.006569097	0.253494601	0.183752264	-1.491800194	-1.178400555	-1.365987952	-0.196508568	-0.387187912	0.097457677	-1.095294944	-0.521620442
100128640	2.299566707	2.960853309	1.467483889	2.253395272	2.248929472	2.224771965	2.61799598	0.911967129	1.840372826	1.66138297	2.30664728
100128644	-1.194656379	-2.340310252	-1.678288341	-3.153768521	-0.465577416	0.52039493	1.529140924	1.207855585	-2.49537872	-1.757449203	0.509552854
100128653	0.811943513	1.363151007	-0.185874319	-0.680220114	-0.747292968	1.387215045	-2.187613388	0.540168522	0.612003689	0.046665553	0.840483206
100128731	3.616566357	3.963651263	4.203513938	3.935618541	3.262337728	3.253724326	4.341383592	4.715192013	4.679445431	3.433546874	3.453746745
100128750	-2.302902099	-2.970584385	-1.946248752	-4.275660481	-2.45437722	-2.235744772	-1.893958814	-3.786406965	-3.0663384	-2.514457506	-2.03460583
100128751	-3.060798936	-6.680256022	-5.070569157	-6.364771893	-3.810214712	-3.997640747	-5.426557958	-6.192680759	-4.422459837	-5.237829266	-4.774214989
100128782	-0.321784219	-1.694539524	0.247036004	-2.638072622	-0.894591983	0.983201634	-1.644412215	-1.843313699	0.202667646	-1.190278628	0.731740188
100128782 /// 101930476	-1.380641449	-2.973448227	-1.652686903	-2.39843284	1.297819278	0.333944337	-0.8343735	-0.173991856	-1.431976649	0.104652392	-3.220011152
100128788	0.747130788	-2.358028752	-1.811880513	-0.559603813	-0.794700953	-0.873884335	-1.104480936	-1.420656356	-1.734021981	-1.098179821	-0.23347747
100128822	3.178474767	3.684339312	3.504442994	3.861354926	1.979385727	1.534403788	4.077660096	3.994170149	4.719089923	3.88190699	3.901238885
100128830	0.086369815	-0.0404495	1.707031718	1.662303631	0.997093015	2.003046341	0.975282027	2.705846867	1.399348852	2.59985656	1.954270721
100128840	-2.450437115	-2.407474465	-1.967493724	-1.136318925	-1.579750042	-2.313128511	-1.686297686	1.495342613	0.032537553	-0.829438602	-1.865721629
100128881	1.026368026	-0.542925099	0.591116373	-2.272523519	-1.3377848	1.712148641	-0.973741079	1.606410817	-1.656566399	1.109288967	-0.275737339
100128893	0.513798923	0.868931653	0.56642288	1.314196398	-0.897037737	-0.138103597	-0.120420401	0.913776725	-1.686193655	2.359801516	0.542249152
100128922	-1.892719263	-0.147019611	-0.605751579	-1.159436915	-1.888434395	-0.206141824	-0.500392825	-0.277837561	-2.415421326	-1.600201535	-1.498293954
100128927	-2.178784666	-3.545260471	-2.150394496	-5.693884912	-1.447139107	-2.98116029	-5.056894091	-4.545636101	-3.762753113	-2.092098105	-1.464957311
100128946	-1.823460268	-4.708080514	-4.847319269	-2.895183779	-2.083042236	-1.514704282	-2.050106718	-3.552076142	-3.325026707	-2.486034203	-2.957108235
100128977	0.894417409	0.887459269	-1.708888488	0.743985547	-1.310822658	-1.658900593	0.822039829	2.195083092	-0.20458706	-2.802167425	0.895310883
100128988	1.699809462	0.889959641	0.478987358	1.236084553	1.278164804	1.577482287	-0.392766373	1.58433208	0.282577248	2.127993654	0.173406787
100128993	-1.905823815	-3.097249249	-1.582855097	-0.953575465	-2.313335492	-2.244169253	-1.128412661	-3.172325663	-0.805827939	-0.092285498	-2.624049793
100128998	-2.236157415	-4.130031137	-2.377888645	-4.276926709	-1.716123271	-1.86242966	-2.537264391	-2.906452764	-4.031049318	-1.635348342	-3.573549688
100129029 /// 100131270	-0.944644651	-0.68475315	0.607578059	-0.267592967	1.56295885	0.861105722	-0.78711522	0.836370515	-1.480261089	1.497258455	0.321145474
100129034	-1.071558426	-3.481127778	-0.722121761	-3.795158648	-1.565316083	-0.789101609	0.441776381	-2.453302058	-0.767258288	-0.321999051	-0.229179983
100129069	-0.588018198	0.002162589	-2.563647811	-3.034176419	-1.29213332	-1.480633848	-1.65141296	-2.105398331	-1.813699806	-1.771809335	-1.538698901
100129098	-3.007060721	-1.969099531	-1.820662231	-2.987144008	-1.641994831	-2.499945366	-3.028822232	-2.105724278	-2.299452132	-2.300538766	-1.333746017
