"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_155_Whole_Transcriptome","Control_159_Whole_Transcriptome","Control_170_Whole_Transcriptome","Control_2303_Whole_Transcriptome","Control_155_Nucleus","Control_159_Nucleus","Control_170_Nucleus","Control_2303_Nucleus","hgnc_symbol"
"ENSG00000139211",453.563706100621,5.23995412989008,0.28488433798286,18.3932685348443,1.48736760492666e-75,1.99500616848813e-71,40.8457634486395,155.072994952386,120.566698250471,1322.54996862845,37.491896621475,164.86034145355,145.912608471043,1641.20937697896,"AMIGO2"
"ENSG00000165617",610.039460297258,4.17282847708163,0.254155494659799,16.4184074897424,1.41224828437536e-60,9.47124311916333e-57,96.2144650123508,353.089280814663,287.681298990047,1632.26894145173,97.3347316134448,299.632103478315,257.170972430213,1856.9238885873,"DACT1"
"ENSG00000133110",18315.7079893946,3.6583047107646,0.229040886253362,15.9722780094285,1.99369522952267e-57,8.91381137119586e-54,4038.28447962216,3934.08259502283,580.704160560811,46592.7235406895,5898.48473577475,4344.66550043557,698.556613055118,80438.1622899964,"POSTN"
"ENSG00000135480",644.644786100898,3.2871331515094,0.250447835821227,13.1250211874692,2.36716543997582e-39,7.9376975115989e-36,142.506330254142,171.773163639566,1135.46358858671,1287.58169750324,126.174652091502,139.15967985813,833.525775890833,1320.97340098306,"KRT7"
"ENSG00000197594",367.813311796955,-3.43222676266582,0.274747217015456,-12.4923076562874,8.22333053672594e-36,2.2059906497821e-32,804.207698122102,72.7650207084271,293.785941939438,86.1718109871228,1144.22384496694,93.3999653101861,355.661983148167,92.2902291932611,"ENPP1"
"ENSG00000164530",184.744794800846,4.84886792380577,0.425050322502789,11.4077502523809,3.82494329339377e-30,8.55066073238177e-27,19.0613562760318,221.873669701106,76.3080368673865,350.931578077993,11.5359681912231,248.857625692241,40.1259673295368,509.264156271248,"PI16"
"ENSG00000060718",670.92117514533,2.90481895003526,0.257910397034387,11.2628997645565,2.00065207230096e-29,3.83353517796753e-26,231.459326208957,2.38573838388286,116.751296407101,2083.10986560175,382.128946334265,4.38791783336445,133.145255229827,2414.00105516349,"COL11A1"
"ENSG00000175183",286.134024813022,3.60341628165585,0.322172834602456,11.184730351652,4.84375575567631e-29,8.12116199386079e-26,73.5223742075511,133.60134949744,128.197501937209,644.41528216457,58.4008389680669,179.904631167942,100.314918323842,970.715302237553,"CSRP2"
"ENSG00000225630",199.034128439723,6.05060937745329,0.541614514699753,11.1714313653641,5.62667657263086e-29,8.38562365207752e-26,4.53841816095994,250.5025303077,212.136342491335,198.569825318152,5.0469860836601,255.126079739904,211.573282283012,454.779563133058,"MTND2P28"
"ENSG00000103196",1127.87447710772,2.5824904179137,0.235729718696524,10.955302675427,6.26685149712249e-28,8.4057279130904e-25,263.228253335677,523.669575262287,1867.25766214495,1800.86596294828,348.242039772547,468.88036276523,1895.04000251767,1855.81195811509,"CRISPLD2"
"ENSG00000162591",881.753808709202,3.63600435624778,0.340055625136274,10.6923811502624,1.10497083625872e-26,1.3473612569762e-23,183.352093702782,615.520503041777,479.214471527187,2793.71508953904,160.782556665172,402.434749859997,864.532205190929,1554.47880014673,"MEGF6"
"ENSG00000187800",183.78006390033,3.11191604783946,0.31514775819502,9.87446671257532,5.37179288483006e-23,6.0043214970188e-20,64.4455378856312,33.40033737436,31.2862951156285,664.397151378976,73.5417972190472,34.4764972621492,38.3020597236488,530.390835243199,"PEAR1"
"ENSG00000124766",365.661072459597,2.9403705255919,0.298881101233995,9.83792723411399,7.72866863624802e-23,7.9742024936919e-20,123.44497397811,221.873669701106,251.053441293702,661.899417727175,96.6137336014933,212.500592215793,308.240385395078,1049.66236576432,"SOX4"
"ENSG00000221852",318.109835114585,-2.97059099806045,0.30268768905776,-9.81404631059703,9.79598608666235e-23,9.38525438431443e-20,434.780459819963,607.170418698187,179.323886638358,43.7103389065116,411.689864824274,604.905815599528,198.805929041796,64.491967388062,"KRTAP1-5"
"ENSG00000243137",331.373458899448,-8.60708631568098,0.894549470064474,-9.62169964178799,6.47522404468287e-22,5.79014534075543e-19,590.902044556985,499.812191423458,16.787768110825,3.74660047770099,803.191785313907,716.484297647938,20.0629836647684,0,"PSG4"
"ENSG00000074410",571.398136582715,-2.72392584873318,0.286642338872029,-9.50287336983135,2.0417711355132e-21,1.71164226503991e-18,714.347018535095,514.126621726756,848.545369965338,84.9229441612224,845.730668019042,655.680293385602,753.273841231759,154.558335636907,"CA12"
"ENSG00000137959",78.908152643554,4.29598874725832,0.46015117604669,9.3360377434359,1.00006708685061e-20,7.8905293152513e-18,10.8922035863039,53.6791136373643,52.6525454384967,184.832290233249,9.37297415536876,52.028168595607,56.5411357825291,211.266789719513,"IFI44L"
"ENSG00000151632",177.828272052643,-3.44988807962226,0.370760618443432,-9.3048935297011,1.3412664849259e-20,9.99467075683952e-18,284.104976876092,221.873669701106,179.323886638358,22.4796028662059,328.775093449858,225.03750031112,127.673532412163,33.3579141662389,"AKR1C2"
"ENSG00000196611",498.370830257968,-2.93853176566151,0.321990945947668,-9.12613165880478,7.09906442690344e-20,4.94056152652288e-17,323.135373060348,175.35177121539,1539.13310361519,41.2126052547109,473.695693852098,181.158321977475,1191.01166664489,62.268106443646,"MMP1"
"ENSG00000080823",193.938649408946,-2.96516418601271,0.325052058032941,-9.12212094258519,7.36682550737774e-20,4.94056152652288e-17,396.657747267899,217.10219293334,122.092858987818,54.9501403396145,351.126031820353,242.589171644577,125.849624806274,41.1414274716947,"MOK"
