"","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000120158",2129,1831,1990,3020,2583,2665,2408,2573,2253,2159,1743,2062,2314,2243
"ENSG00000120159",972,1065,1691,2460,1559,2099,1821,2245,1445,1544,1995,2085,1280,1398
"ENSG00000120160",9,22,27,81,33,89,32,52,11,33,64,92,13,56
"ENSG00000120162",3251,4794,5775,9270,3046,5949,5758,9126,4677,6450,3765,5669,2754,4974
"ENSG00000120210",700,981,526,931,665,1183,676,882,931,1337,323,639,687,1469
"ENSG00000120211",1,0,0,2,1,0,0,0,0,0,0,0,0,0
"ENSG00000120215",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120217",128,191,131,243,109,227,142,171,271,315,144,209,118,238
"ENSG00000120235",1,3,0,2,0,3,22,1,4,7,1,2,12,1
"ENSG00000120242",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120251",61311,44777,70744,55980,52154,37048,43832,42811,80006,67872,94266,70817,47590,49801
"ENSG00000120253",165,202,316,435,489,557,398,379,260,334,258,310,240,442
"ENSG00000120254",5404,4844,8421,8470,6562,7024,8054,8647,6864,5569,7793,7159,9871,8206
"ENSG00000120256",1820,1639,2392,2958,2552,2682,3378,3749,2569,2245,2625,2256,2364,2284
"ENSG00000120262",126,194,323,445,287,539,700,704,392,512,352,579,212,619
"ENSG00000120265",1700,1981,2277,2447,2357,2280,3144,3150,2358,1997,2232,1744,1534,1683
"ENSG00000120278",1093,1392,1518,2660,1375,2813,1537,2177,1198,1286,1083,1348,1077,932
"ENSG00000120279",20,15,15,23,12,11,36,135,13,22,26,28,26,25
"ENSG00000120280",2,8,1,14,1,1,0,1,1,0,1,7,2,1
"ENSG00000120289",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120306",728,797,1058,968,1003,600,841,710,1071,956,636,431,1089,574
"ENSG00000120314",187,212,215,333,195,224,376,315,162,187,116,144,120,162
"ENSG00000120318",150,102,237,521,285,494,364,697,121,127,761,1044,159,222
"ENSG00000120322",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120324",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120327",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120328",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120329",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120332",28,33,37,70,13,42,56,216,42,65,33,36,16,23
"ENSG00000120333",894,788,843,1205,741,843,1020,915,1191,1031,974,1004,790,875
"ENSG00000120334",75,79,143,139,73,98,54,115,82,114,73,86,41,79
"ENSG00000120337",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120341",128,138,68,122,69,71,18,13,136,123,82,130,32,131
"ENSG00000120370",451,398,794,806,532,324,813,892,834,695,568,484,268,250
"ENSG00000120436",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000120437",343,304,646,563,688,623,477,314,698,467,866,467,709,639
"ENSG00000120438",961,826,1130,1576,670,808,1710,1569,1074,1146,933,896,896,593
"ENSG00000120440",76,116,66,168,67,170,155,301,153,149,33,163,141,84
