"Ensembl_ID","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"ENSG00000179218","CALR",384.94719256901,-0.06040428919436,0.178227593986965,-0.338916594468407,0.734672562943518,0.93084864332481,300,314,263,486,326,315,645,688,551,404,444,349,244,293
"ENSG00000197153","HIST1H3J",2.40327308053616,-0.0770515812017896,0.22736087784499,-0.338895512421102,0.734688445188706,NA,0,3,6,0,0,0,0,0,16,5,0,0,0,4
"ENSG00000185523","SPATA45",81.3225048852901,0.0992201165446533,0.29278373173149,0.338885347071289,0.73469610333645,0.93084864332481,99,71,44,78,109,104,31,42,98,124,47,93,85,94
"ENSG00000251108","YBX1P5",4.70950470366395,-0.117385040002336,0.346554234720746,-0.338720547151659,0.734820260356798,NA,6,2,10,9,8,1,0,6,8,11,4,4,0,0
"ENSG00000109775","UFSP2",904.394870213225,-0.0678853144425939,0.200443159592674,-0.338676134324291,0.734853721293729,0.930892981806125,928,838,792,908,775,876,789,703,1239,1200,658,802,1059,1012
"ENSG00000131037","EPS8L1",11.3311338110421,0.121950168250102,0.360099825575581,0.338656560177939,0.734868468753245,0.930892981806125,5,10,21,3,5,5,3,24,28,26,12,10,0,13
"ENSG00000231154","MORF4L2-AS1",57.7672221181481,-0.0861614049609441,0.254445468590304,-0.338624246044943,0.734892814926336,0.930892981806125,62,54,76,74,31,55,69,54,72,85,71,68,32,23
"ENSG00000103657","HERC1",27723.4406409467,-0.0393330688606994,0.116250485200092,-0.338347567263902,0.735101281662158,0.930957082365219,21779,20219,28147,31666,26373,27829,29695,29217,31084,29597,33684,35812,22691,26778
"ENSG00000213930","GALT",55.8492802962095,-0.115155067981095,0.340365150679065,-0.338328021395105,0.735116009454807,0.930957082365219,34,40,80,125,29,54,4,31,57,68,78,54,105,25
"ENSG00000143442","POGZ",12161.9350515903,-0.0311654870281699,0.0921279757547677,-0.338284725924385,0.73514863289562,0.930957082365219,9208,8683,11609,14173,13288,13360,14190,17260,12289,12066,12209,11964,11551,12121
"ENSG00000188878","FBF1",121.989927784015,0.089933898904771,0.265863544795237,0.338270893717439,0.735159055661271,0.930957082365219,43,58,122,151,152,145,134,76,116,115,180,215,77,162
"ENSG00000050344","NFE2L3",993.31477818572,0.0839908860401917,0.248365823521959,0.338174088725882,0.735232000971019,0.930967304314373,1196,1172,1000,1203,555,584,583,1114,1396,1683,907,1260,809,515
"ENSG00000275895","U2AF1L5",43.456244254837,0.118308784244385,0.349904767932565,0.338117096670102,0.73527494722009,0.930967304314373,33,49,185,222,11,4,23,114,5,4,6,5,4,5
"ENSG00000235549","EIF1P2",1.56461456669283,0.0986764555327291,0.291914629581509,0.338031895401037,0.735339152008485,NA,2,1,1,1,3,1,0,10,3,0,0,0,0,2
"ENSG00000253943","KRT18P37",5.0199084884261,0.120744420303055,0.357403481759508,0.337837840047407,0.735485392446796,NA,2,7,9,8,5,4,8,5,8,12,1,5,0,0
"ENSG00000123200","ZC3H13",13919.9331846666,-0.0638434454563795,0.189000074072971,-0.33779587531659,0.735517018398996,0.931205527179785,9550,9010,12588,15046,17981,21114,11447,13319,13566,12969,13642,13659,17410,14624
"ENSG00000134851","TMEM165",2642.83245706996,-0.060028024449474,0.177881246157909,-0.337461231838828,0.735769232376111,0.931237796178856,1513,1614,2577,3710,2748,3191,4975,3522,2037,2078,3078,3169,2084,2180
"ENSG00000182749","PAQR7",241.352733028166,0.0911057427999234,0.269979492585443,0.337454307834474,0.735774451158105,0.931237796178856,80,105,301,494,355,326,313,310,147,150,329,348,116,190
