GeneID,1-TDPneg,2-TDPneg,3-TDPneg,4-TDPneg,5-TDPneg,6-TDPneg,7-TDPneg,1-TDPpos,2-TDPpos,3-TDPpos,4-TDPpos,5-TDPpos,6-TDPpos,7-TDPpos
ENSG00000004777,288,449,603,750,433,508,324,217,341,433,1004,529,324,355
ENSG00000004779,432,554,714,1212,381,455,756,348,545,875,700,369,413,931
ENSG00000004799,11,18,24,340,28,17,38,28,69,27,102,79,64,39
ENSG00000004809,0,16,3,21,16,45,17,2,5,2,0,6,24,2
ENSG00000004838,3,0,1,0,1,2,1,2,1,1,0,0,0,1
ENSG00000004846,103,18,20,53,30,16,38,178,184,140,122,194,152,158
ENSG00000004848,54,6,7,94,109,19,79,143,640,489,857,291,563,352
ENSG00000004864,2385,3127,2473,4720,3211,2550,2928,2725,4390,3215,3999,3510,2844,3113
ENSG00000004866,9107,10452,8915,10518,10799,12193,6695,8821,12053,9951,10988,10266,10785,8427
ENSG00000004897,4788,6660,5969,9384,6929,8393,6254,4586,6930,5656,7843,6104,6999,5545
ENSG00000004939,11,1,5,2,11,10,2,6,0,3,1,2,3,17
ENSG00000004948,3,1,3,4,1,7,2,1,39,7,14,21,25,8
ENSG00000004961,160,199,86,104,157,188,91,132,371,143,309,168,177,117
ENSG00000004975,392,451,371,334,479,505,320,275,340,268,290,513,394,312
ENSG00000005001,0,7,0,0,0,1,0,0,0,5,0,0,0,0
ENSG00000005007,628,604,535,728,625,576,292,505,681,476,558,660,467,527
ENSG00000005020,5164,6243,5268,3917,7032,7251,4526,4559,5942,4679,4758,6034,5955,4437
ENSG00000005022,58,114,122,198,77,90,56,100,228,170,395,91,94,55
ENSG00000005059,1034,886,936,2973,2182,456,871,1364,1181,742,2264,1800,718,1525
ENSG00000005073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005075,88,69,108,79,99,46,31,76,70,94,124,113,39,132
ENSG00000005100,269,443,505,673,440,482,615,252,550,482,589,324,338,225
ENSG00000005102,39,68,136,81,82,167,65,30,134,143,448,68,162,86
ENSG00000005108,8216,7120,8798,4114,12055,9831,8755,3963,10627,8814,4607,7997,9655,6029
ENSG00000005156,903,1400,1336,1285,1176,1400,705,629,1531,1158,1445,1159,1224,921
ENSG00000005175,1235,2073,1331,2290,1999,1568,780,1237,2742,1562,2359,1951,1833,871
ENSG00000005187,322,266,232,343,309,329,368,352,354,329,581,329,360,341
ENSG00000005189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005194,515,909,953,1174,582,1072,534,581,1276,1031,1513,604,991,628
ENSG00000005206,374,764,758,754,509,658,698,367,726,501,1155,568,571,641
ENSG00000005238,99,155,141,209,150,219,80,157,295,191,478,146,191,124
ENSG00000005243,13,13,15,32,25,14,10,18,10,19,31,16,20,14
ENSG00000005249,6515,6393,5857,7132,7200,8017,3921,5308,5082,4070,6818,5406,4647,4146
ENSG00000005302,422,655,529,511,661,812,411,497,779,560,1086,614,639,598
ENSG00000005339,10082,9898,10813,13721,11550,9096,5676,9163,12553,9992,13992,10296,8007,5846
ENSG00000005379,1391,1624,1349,1820,1524,1711,1062,1026,1381,1128,1785,1593,1690,1135
ENSG00000005381,3,47,51,54,7,60,4,8,67,32,15,5,55,12
ENSG00000005421,170,119,69,130,191,61,75,190,177,74,187,286,76,140
