GeneLists,1.Limma,2.Limma,3.DESeq2,4.DESeq2
ALSOD,2,3,4,4
Carulli,1,1,1,1
Exac,64,69,60,72
GeneCards.AD,4,4,4,4
GeneCards.ALS,3,5,5,5
GWASCentralAD,1,2,0,0
GWASCentralALS,18,25,21,23
NeuroX.FDR..05,2,2,1,1
NeuroX.GWS,0,0,0,0
Pasterkamp,7,5,7,10
Subnetwork.28,2,1,2,2
Taylor,13,8,10,14
