Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
FANCM,0.52614098,4.762632161,2.767658395,0.018703512,0.999972288,-4.221879886,1.440072035,22.7910711,16.43371314,24.83008023,30.34762853,24.07949576,23.83432974,34.85330763,32.76458618,36.87060289,31.85435459,3
MAFF,1.383303505,8.132677601,2.762343095,0.01888021,0.999972288,-4.222994208,2.608650204,373.2149525,130.2799235,60.70575961,483.3286382,603.193747,592.0586771,225.0515677,278.0907672,292.4951418,325.1481008,10
PRKXP1,-0.406036378,4.059406409,-2.752161893,0.019223329,0.999972288,-4.225132016,-1.325040428,21.22430998,20.70159394,19.04816246,13.18853131,16.36123004,16.69893269,13.7998049,18.96310044,13.35969355,15.74202494,4
SEC11C,0.455553928,6.909145703,2.737561086,0.01972627,0.999972288,-4.228205524,1.371309223,86.51507012,91.61507012,112.859283,168.777665,122.6320493,116.2124756,136.7276084,117.5285407,156.3819306,116.3180721,10
LOC100130987,0.414361429,4.621247303,2.733626648,0.019864023,0.999972288,-4.229035274,1.332708658,19.69237108,16.83114906,24.60630653,25.12010383,29.03203407,26.03675934,30.86290555,23.04931006,26.30473083,28.13636077,5
NOV,-0.982594559,4.420264506,-2.728601571,0.020041357,0.999972288,-4.230095978,-1.976015905,44.67556111,22.00950112,41.72307573,34.52531733,21.85421091,9.925110784,15.90878853,15.38064453,20.79936475,12.94778958,8
ONECUT2,0.547960693,3.822858028,2.699004787,0.02111824,0.999972288,-4.236364654,1.462017615,10.05519059,8.614515536,14.7354421,18.52270336,15.17968215,12.22428771,14.91226401,15.18982336,15.5557572,20.83468525,4
F3,0.633118658,6.177709457,2.681696849,0.021774442,0.999972288,-4.240047195,1.550913967,82.92534396,41.83833717,43.50424852,119.0938398,86.03045945,69.12324287,77.23329974,84.20682563,75.51905941,75.2646486,8
LEPR ,-0.621969673,5.593264305,-2.678877941,0.021883217,0.999972288,-4.240648113,-1.538974869,67.01743381,51.85067998,80.06910007,37.15718722,36.71610995,47.93251785,27.96600922,57.2965898,52.94355738,44.55474611,8
FCF1,0.578481122,3.818565929,2.666820255,0.022354614,0.999972288,-4.243222104,1.49327629,12.61358979,9.196565328,10.43157621,19.82458717,16.78148586,19.38101325,11.71087158,11.95241535,20.29143047,14.10736651,8
UIMC1,0.503188355,5.902897104,2.66444618,0.022448609,0.999972288,-4.24372959,1.41734243,41.54806158,50.43016996,49.14835822,78.27907337,69.37880796,93.4749769,61.02010135,60.22148941,60.44203759,50.65348071,6
LRRC8B,0.845167084,5.180847813,2.664034622,0.022464943,0.999972288,-4.243817588,1.79647279,26.08056183,18.02595863,29.66696501,68.01507023,61.47405526,59.65759302,26.98556708,33.78458317,30.76434909,40.41633491,6
TARBP1,0.702620651,5.20735,2.662441063,0.022528301,0.999972288,-4.244158382,1.627458382,22.71012315,27.42815759,29.11513085,84.58138221,42.72697373,34.19888931,37.02074284,42.66243734,40.04375043,33.42998299,4
PTPRD,-0.878631411,5.251175799,-2.661412081,0.022569306,0.999972288,-4.244378491,-1.838630287,39.31850159,42.82005759,117.8903721,21.46688798,37.72063654,42.62729463,26.35339998,34.66038515,31.0999985,32.99327717,7
SLC16A7,-0.621435285,4.10930213,-2.633326565,0.023717529,0.999972288,-4.25040235,-1.538404924,21.91590392,19.43336414,29.82707178,18.06544794,12.18189538,23.95918446,11.8124329,12.80085577,14.34763669,16.1405997,9
SLC35E2 ,-1.104116564,5.041596985,-2.624546154,0.024088228,0.999972288,-4.252291903,-2.149672023,71.31507014,38.32056566,65.22050548,43.90513367,15.57016008,50.68939342,23.43146109,16.87395253,15.99139801,38.46747673,8
DNPEP,0.43348763,6.269598275,2.60512355,0.024928708,0.999972288,-4.25648215,1.350494374,58.87707614,81.34027972,51.01814834,99.08570505,86.38957039,80.66859284,83.78050456,70.68976923,82.07390452,91.09895576,6
KLHL6,1.301512354,3.415168174,2.600302306,0.025141789,0.999972288,-4.257524502,2.464871358,5.098594376,4.967965127,7.20787486,25.97228721,10.34070713,36.48563227,6.533444381,15.36791716,15.53758857,6.837876108,7
ND2,-0.634894578,12.91295726,-2.587747952,0.025705121,0.999972288,-4.260242831,-1.552824277,10986.15771,11008.87842,9557.192951,4209.720589,6299.521957,7271.96477,8712.324115,10457.41507,6380.922293,5745.144568,10
FAM182A ,0.555782982,5.188870616,2.57643913,0.026223217,0.999972288,-4.26269647,1.469966199,30.65160641,23.31427185,30.24102926,40.80818483,48.23389808,27.51013736,41.10295918,59.28063039,36.26629101,40.31845502,5
EIF3B,0.57614655,4.347625595,2.572144512,0.026422654,0.999972288,-4.263629488,1.490861822,11.74507933,16.24868692,19.11632434,20.51000545,14.97409928,25.09757161,24.79384946,30.48742636,25.48821404,22.58583797,9
CSRNP1,0.699789686,6.467991914,2.567596111,0.026635508,0.999972288,-4.264618374,1.624267992,90.71635888,60.78304026,45.42862194,117.1793931,130.0694398,108.0934387,110.4639854,98.05621218,115.8933321,57.04506345,9
RAD1,0.463301888,4.368593325,2.548590533,0.027543346,0.999972288,-4.268758515,1.378693618,20.46149665,12.55210767,17.4862438,28.64107821,20.12584396,20.15843103,19.71930903,23.39188764,23.47045237,25.04650314,9
RHOJ,-0.541595377,3.68000219,-2.541307915,0.027899229,0.999972288,-4.270348356,-1.455581254,12.69229679,20.10027609,18.15546769,10.49242059,17.47637659,9.862413044,9.567716472,12.58841178,11.11279209,10.67205486,9
ZNF528,-0.355317592,5.297493399,-2.534124802,0.028254679,0.999972288,-4.271918301,-1.279267166,44.14117316,47.7916639,48.36551918,42.19853173,41.74221026,29.5170354,36.21804573,37.41241733,34.35579755,35.84478142,3
TNS1,-0.563141967,6.132401614,-2.530898185,0.028415791,0.999972288,-4.272624098,-1.477483446,78.74272254,146.1091125,68.11147325,56.84653395,56.96086389,72.71207956,67.41507023,60.10661312,53.91250553,71.61507014,8
LINC01061 ,0.647642961,5.870676963,2.528924138,0.028514805,0.999972288,-4.273056084,1.566606622,57.32256275,28.93996698,47.04462819,77.33778157,40.69895594,61.32068497,73.61439999,69.41507017,83.44872534,73.23972562,10
LINC00537,0.691741382,7.147761875,2.511144397,0.029422007,0.999972288,-4.276952906,1.615231982,150.0821795,55.82844199,124.3352414,136.7848378,169.7289461,221.1465704,153.3176957,170.797125,165.3373408,141.9745542,10
GLRX3,-0.540454781,6.157441628,-2.501449103,0.029928582,0.999972288,-4.279082367,-1.454430926,98.45958665,126.8705081,63.93824384,74.07753467,75.01507013,72.86326213,56.78507945,55.51508436,51.45481835,65.45637244,3
FAM72A ,0.53114089,5.496222624,2.478230374,0.031176777,0.999972288,-4.284194784,1.445071513,38.82310604,24.23245502,45.11576343,59.02227166,64.5788757,40.41715729,54.09491368,43.50108322,47.46562307,48.05680204,10
LOC732360 ,0.619627441,4.914809292,2.476382739,0.031278265,0.999972288,-4.284602362,1.536478352,15.56292953,28.8537456,24.80367168,28.44885696,28.79964992,28.44885696,33.03272491,44.39798931,52.12552952,31.43153855,10
ANAPC1 ,0.420875838,2.957544942,2.469769835,0.031644161,0.999972288,-4.286062034,1.338740037,6.678587355,6.047729819,6.289123206,7.892160944,10.00423967,10.95487416,7.527979872,6.867223015,9.547894992,7.376930085,8
BROX,0.352992843,4.721945453,2.469606606,0.031653245,0.999972288,-4.286098081,1.277207423,22.81747446,21.37311704,22.54536182,36.31444235,24.60998527,25.82251687,30.72496636,28.02958422,27.87628298,26.89969199,7
LINC00472,-0.430421891,2.941260177,-2.467293764,0.031782238,0.999972288,-4.286608939,-1.347627609,11.9310233,8.498708712,8.361588029,6.039156341,8.4681208,8.273584983,6.644055354,7.477077931,5.78027301,6.93721936,3
SOAT1,0.56732811,2.52510426,2.463440001,0.031998316,0.999972288,-4.287460532,1.481776758,4.45917288,4.322793532,4.33245176,8.71296193,4.94437131,5.10060821,5.634903723,10.19609948,6.495204175,5.831180375,7
KCNK10,0.316271744,5.614559011,2.457375099,0.032341285,0.999972288,-4.288801687,1.245108741,42.73078673,39.85458459,43.58103665,48.80407859,52.824385,45.76764312,55.8662156,52.94198234,61.5669155,49.98550117,4
CRCP,-0.451871855,5.684279114,-2.454064019,0.03253004,0.999972288,-4.289534365,-1.367813804,57.06860108,63.63790669,72.27017421,37.23655019,38.52801642,40.57949614,57.85770394,53.17455227,58.28076114,47.17044403,9
NPR3,0.475082929,6.758145138,2.452631173,0.032612056,0.999972288,-4.289851533,1.389998117,67.53639301,109.339182,86.01410545,154.4892974,131.7560778,101.9741936,120.2984268,92.41507012,118.2843942,127.3711663,7
IGHG1 ,0.506043365,3.777592581,2.450833217,0.032715256,0.999972288,-4.29024961,1.420150045,12.11081856,8.559227591,11.91231244,11.91740845,19.55225154,12.33773214,18.36175026,14.08110427,18.83023662,13.61639467,3
EWSR1,-0.611408557,5.569161623,-2.449097017,0.032815215,0.999972288,-4.290634109,-1.527750081,56.37087637,51.75882755,89.31507012,60.95327135,26.60647656,39.24133732,47.44396942,45.22909567,43.12019001,37.9206053,10
ABCG2,-0.848819131,6.191583989,-2.445845246,0.033003234,0.999972288,-4.291354498,-1.801026152,194.540306,88.51507012,78.00505226,55.28107059,64.49051691,50.41518215,39.00600606,82.37411583,51.84913017,108.1628447,5
ITIH4,0.638952558,5.787762636,2.442884966,0.033175313,0.999972288,-4.292010594,1.557198174,42.87091705,41.12193927,37.73218565,53.95751843,44.98618509,43.02183111,60.76497322,72.85311686,98.64191826,87.29116848,5
BOLA2 ,-0.49528113,4.207052582,-2.442860061,0.033176765,0.999972288,-4.292016115,-1.409595409,18.53813097,30.95598105,22.57537348,12.3955133,15.42484461,18.56409234,20.19304886,19.97104879,14.64463656,17.0060849,5
NHLRC3,0.405905233,2.726485649,2.42938742,0.033971087,0.999972288,-4.295005481,1.324919983,5.306376385,5.21065923,5.807281789,8.997338586,5.352819745,8.589543053,6.686777218,7.202157067,6.891478418,7.315052061,5
SLC26A2,1.026895223,3.842427385,2.422448566,0.0343874,0.999972288,-4.296547235,2.037634403,9.086230473,7.991058792,9.118102451,16.18912204,24.51261269,51.77960688,10.36600333,11.11284949,14.68187976,16.03158128,5
BTBD7,-0.321824318,3.047543265,-2.417593991,0.034681615,0.999972288,-4.297626729,-1.249910087,8.59692795,10.32113618,10.1760782,7.580706951,7.410786848,6.872920721,9.320349568,7.517404443,7.864911397,7.770676185,3
NSF,0.559673408,5.804833945,2.399033791,0.035829257,0.999972288,-4.301760226,1.473935515,58.20304148,25.53451932,52.04862118,55.11509919,77.03061637,62.87478827,56.71506922,62.01785108,64.81507039,63.31507075,9
CCDC163P,0.508243619,6.073682261,2.397223706,0.03594314,0.999972288,-4.302163875,1.422317568,62.53231718,36.60108798,63.70746306,92.73545316,80.5781728,55.68228401,73.19010628,76.81507012,84.68714697,66.51507023,3
RAB12,0.449699246,4.751200346,2.383006254,0.036849975,0.999972288,-4.305337571,1.365755513,22.86972932,16.81681146,26.39207634,36.29230929,23.7347018,36.68724886,25.56196754,28.78789809,28.4684244,29.86611701,4
FAM65C,-0.572471684,5.602681155,-2.378341803,0.037152306,0.999972288,-4.306380016,-1.487069097,65.01507039,73.89503977,54.95299148,35.90146685,64.85805976,48.75303367,53.54653325,45.06801678,29.10291207,34.87515371,4
PMAIP1,0.97049362,4.637780744,2.376628152,0.037263983,0.999972288,-4.306763145,1.959510929,18.07977938,13.24855976,15.68416515,12.5758735,23.4683607,42.85505177,31.29524578,55.0467751,49.27199701,22.67016177,7
MRPL30,0.65537726,5.695674453,2.376304524,0.03728511,0.999972288,-4.306835509,1.575027763,56.04572238,20.70159394,46.22267359,44.12273072,64.2820618,54.77839118,63.58427126,65.02388961,70.76326083,57.37138123,10
CDK14,0.42050772,5.33414823,2.371565872,0.037595794,0.999972288,-4.307895408,1.338398487,37.17477799,25.17036972,38.04069647,50.21518215,45.97493502,49.01326702,47.10261093,41.31372978,33.54246864,43.4105733,3
LOC646214,0.406702072,4.820196174,2.358432376,0.038470073,0.999972288,-4.310836136,1.325651975,20.35307365,24.53028166,24.98252687,36.14970503,37.49173645,27.38165249,24.29529924,27.26202064,36.09074394,29.26114634,4
LOC100130429,0.415989771,6.184589397,2.348538914,0.039141663,0.999972288,-4.31305438,1.33421371,69.26117683,53.01512792,57.1975913,63.66994504,93.30775159,65.98446613,99.91507012,71.61507014,87.71344406,80.20589389,9
LINC00938,-0.345734167,3.240708563,-2.346005147,0.039315481,0.999972288,-4.313622891,-1.270797509,11.37835952,9.75984862,12.58024402,9.576479489,10.0544283,8.616710719,9.637715792,8.6642414,7.104937619,8.281773361,5
C4orf29,0.398371143,3.5942205,2.33823975,0.039852865,0.999972288,-4.315366258,1.318018977,11.37866233,8.174308503,10.60539426,13.11266892,10.39662494,12.6035149,14.13854983,16.23526918,14.64884755,11.58429993,3
GIMAP7,-0.845722618,4.390737157,-2.336051904,0.040005549,0.999972288,-4.315857713,-1.797164686,36.1927353,21.04749588,41.49955711,13.22920816,16.74563701,11.02482551,11.56363472,25.70082108,22.41805931,32.07184518,9
ZNF420,-0.630223712,4.590065278,-2.334337539,0.040125586,0.999972288,-4.316242894,-1.547804986,33.85792331,33.35010839,30.9662441,22.61866493,40.61645624,15.91987062,17.6612339,16.35662118,17.85117083,24.90791274,9
HMOX2,0.289086617,5.497242282,2.325394237,0.040757457,0.999972288,-4.318253442,1.221866458,36.87677347,40.96708023,40.04669435,46.22360983,45.53125155,54.33766221,53.12962243,48.49988306,43.62547117,45.44662688,3
MICALL2,-0.563067741,6.444230861,-2.321717806,0.041019991,0.999972288,-4.319080509,-1.477407433,128.7150701,102.0108861,114.1287429,56.0649408,68.35949327,73.1437635,99.11105957,82.82572305,58.5150769,124.2150701,10
APBB3 ,-0.317237228,6.296573101,-2.318579424,0.041245396,0.999972288,-4.319786792,-1.245942274,84.11507012,109.6150701,83.59372494,66.10121063,82.97424313,69.05572322,74.72561699,78.3392862,70.81507014,74.42670253,8
MIR6751 ,0.374328872,6.057089098,2.314104991,0.041568832,0.999972288,-4.320794157,1.296236418,54.12692876,61.8723139,51.115182,85.46975382,74.97612597,83.65967315,80.97530461,61.01394902,61.57590488,61.3410565,3
CEP44,0.554178277,3.008260073,2.312666371,0.041673343,0.999972288,-4.321118146,1.46833207,7.354807663,5.553608956,5.691830214,10.81773583,10.54475369,11.19646491,6.471144617,12.08500619,6.257978549,7.82439608,5
HLA-DMA,0.695912047,4.164755746,2.312058808,0.041717557,0.999972288,-4.321254989,1.619908187,10.6125895,14.2703661,13.83448164,28.04415023,17.6310987,37.22248835,17.81174944,20.53003462,20.83871696,11.7233133,5
HIST1H2BD,-0.39992694,5.368952053,-2.312031098,0.041719574,0.999972288,-4.32126123,-1.319441091,42.05949152,53.41388934,56.22735184,36.9146702,37.72063654,47.91994257,30.54087834,45.89108477,33.22938852,37.00528815,3
PARP6,0.357915588,4.670633701,2.311957633,0.041724924,0.999972288,-4.321277778,1.281572937,21.93641631,22.4767002,19.89955239,22.25401394,25.56917164,30.72591032,34.81397316,27.9429892,28.08353456,24.49959447,4
NOG,-0.561854496,4.957108462,-2.310939595,0.041799123,0.999972288,-4.321507095,-1.476165518,47.8677929,49.66244222,28.56453499,37.68071817,21.99385877,34.10026885,19.41387136,28.47616541,26.09288026,30.21277871,3
CDHR1,-0.547082201,3.484158161,-2.305775997,0.042177437,0.999972288,-4.322670589,-1.461127628,13.46106079,19.76544805,11.67797443,11.15492362,10.79115276,6.346426614,12.78937365,8.74989298,12.12147755,9.561728534,3
SYNPO2,-0.399511786,4.520353922,-2.301390378,0.042501347,0.999972288,-4.32365927,-1.31906146,26.86085426,26.72857246,30.11253693,21.82260575,14.56307297,21.69231891,26.39308642,22.45624832,22.41805931,20.45913541,7
COQ2,0.513247791,4.93497685,2.301170648,0.042517639,0.999972288,-4.323708817,1.427259625,21.35356016,23.81685956,26.66349848,30.37583782,47.62252086,36.13554308,43.14413567,23.16700292,37.3857129,27.08420878,8
LRRC58,-0.506623894,2.760610909,-2.299986382,0.042605549,0.999972288,-4.323975876,-1.420721617,7.916790903,6.081656971,13.51381132,5.275241756,7.253847032,6.039816611,5.62586829,6.5546345,5.617288976,6.558713118,8
TRIB1,0.878609996,5.284174492,2.295381331,0.042949062,0.999972288,-4.325014647,1.838602995,31.29409828,28.73138142,18.31645406,67.10144953,61.74533818,90.07334868,27.4850914,33.28851869,50.99504651,28.14737261,5
RGS1,1.039554176,4.865802386,2.286296657,0.043634585,0.999972288,-4.327065293,2.055592333,22.08333153,11.28689292,21.90033404,26.85752107,54.52872648,77.13221186,20.5975319,60.9221519,28.58196973,20.08284963,6
EFCAB5,0.361278225,2.726473138,2.284137956,0.043799024,0.999972288,-4.327552836,1.284563514,6.323955236,4.744689276,5.710410169,8.526172683,7.664349895,7.585619528,6.981065153,7.614510609,5.834740698,6.121140536,4
FMO5,0.349862747,4.207119801,2.280167831,0.044103009,0.999972288,-4.328449756,1.274439375,18.94428736,13.22513838,15.11328905,18.75804569,23.15569814,17.40955788,22.93555342,19.30687997,19.50364413,18.68464167,4
GALNT2,0.473194961,5.049418938,2.277207376,0.044331008,0.999972288,-4.329118796,1.388180301,30.5262613,27.96600922,21.36186802,37.53204739,40.83763715,51.97889091,32.3362914,27.83147315,29.82743103,40.66213185,4
HSPA14,0.397934187,4.501111487,2.273793375,0.044595347,0.999972288,-4.329890567,1.317619843,22.68576612,17.10378952,16.76886447,23.30333259,29.95705743,20.62694531,23.5658709,31.62571903,21.81316204,23.27832012,10
DMD,-0.494878005,4.13601738,-2.273306491,0.044633169,0.999972288,-4.330000653,-1.409201587,19.40886159,22.61619784,25.4460153,16.77648316,15.45988563,10.7786678,18.77659549,22.93968857,16.11757018,13.02078808,4
