Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL,countP
BRD7,0.610740297,7.27597185,4.82506113,6.01E-05,0.025757242,1.837591862,1.527042587,138.567246,124.9837877,83.98208592,108.783887,91.21997259,122.9520509,118.6756776,165.3079739,204.2189217,120.6480231,175.4468061,188.9579262,267.9323088,226.8783479,219.2163759,189.2027691,160.3647765,150.6373719,179.5835496,152.4205839,148.5470703,205.6607584,156.206593,163.0420754,24
C4A ,1.880027246,9.760005202,4.78473969,6.67E-05,0.028040782,1.744118165,3.680820115,488.8863637,431.1730301,748.4136997,180.9685849,321.4064926,313.3583261,652.4221287,163.2429464,1169.644594,640.6387302,3077.588302,3656.600668,1197.433006,1438.825077,3714.384236,4212.395562,850.9599247,872.3557669,1393.349707,967.0080332,2331.202019,486.7399541,609.5942009,677.016556,24
LRIG1,0.793546634,9.985011078,4.774746232,6.85E-05,0.028240188,1.720943555,1.733330343,646.5286698,1130.81932,502.1291783,568.441063,727.0666595,557.7995299,942.3924819,742.169025,1050.400237,871.4502147,1503.658503,1296.545826,796.9758111,1244.195859,1907.618978,1515.816659,959.8722826,1700.233326,1475.131043,1085.205634,1709.947526,911.3298574,899.6097548,1241.239079,24
WDR76,-0.487458129,4.32478339,-4.759745846,7.12E-05,0.028498946,1.686152752,-1.401972576,21.57321261,25.87456327,25.86922187,27.09476012,41.49865964,22.39292438,21.09500313,20.55634807,22.11556088,20.3935149,15.94370695,18.83673463,20.11191388,20.13235105,19.12013914,17.47816283,16.52097661,16.08089063,15.42681411,18.8263721,18.62444813,16.45604938,14.59315504,17.6422941,4
SSPN,1.300176908,7.646286145,4.757113056,7.16E-05,0.028498946,1.680045827,2.462590779,196.8002347,94.75352509,136.4763901,145.3036571,113.1865534,31.430578,179.4208008,89.88588525,252.9599358,216.6825869,423.8568029,354.0865059,276.0423322,259.958184,486.4280239,427.8941834,108.8301099,252.8583307,401.0140772,269.610975,284.4876274,148.0942298,210.1882215,254.3532161,24
SALL1,0.884610103,6.871673605,4.747472077,7.34E-05,0.028500793,1.657681431,1.84626559,87.45866913,63.12776037,68.56358914,45.53924872,101.0607514,46.50100823,151.0251899,109.8516204,114.4060837,116.0804984,187.2365658,111.9224859,190.0363441,143.6529804,198.9008595,218.9660358,154.6238903,101.0152045,151.5235758,136.918811,145.7305179,117.7632304,109.8550682,162.8716516,24
ASAH1,0.627919611,10.26619218,4.726467179,7.75E-05,0.028500793,1.608948002,1.545334988,1215.331249,1102.626548,828.5593432,898.0854108,865.9114631,626.6030303,1078.243785,889.992288,1277.050447,1256.570438,1660.255794,1662.448037,1515.462493,1567.858326,2322.010511,1325.907712,970.5814521,1374.404775,1715.145729,1264.483842,1080.397495,1107.297097,1802.555541,1410.537105,24
GATM,0.811640855,9.763078229,4.7257353,7.77E-05,0.028500793,1.607249786,1.755206599,681.2498838,539.1595231,744.655017,502.6499928,744.8838035,407.1350353,806.0249928,481.2061553,1465.545762,990.2018467,1305.21306,1218.160872,1092.133922,1489.759094,1272.642666,1401.463061,771.8783617,628.4227894,904.7162543,1363.13614,1065.528463,543.186044,898.3166595,1018.989089,24
C19orf26,-0.703886644,5.018359632,-4.72460115,7.79E-05,0.028500793,1.604618135,-1.628887136,32.51806531,50.83560514,44.06923865,37.81419616,40.53230033,88.5783849,30.40095367,54.62609931,33.47326481,34.86237176,24.43850946,22.0821763,21.80199928,34.92148536,22.84303959,28.39604449,28.27109057,25.81362956,30.28693271,30.82521251,21.96544856,33.98348988,31.7962678,21.83904212,4
SCP2,0.776220269,8.599734731,4.714246093,8.00E-05,0.028500793,1.58058924,1.712638033,418.3767523,233.2678464,236.7900654,264.7305282,231.2920709,195.1597286,377.9415745,278.8963778,276.2747572,347.5212185,571.694348,591.2079736,531.8631787,513.0150328,818.5260943,481.5516054,311.8397944,507.9722232,571.5806019,366.4813808,388.6633491,395.4416595,526.8052122,495.0249928,24
ALCAM,0.844045898,9.235619726,4.711437677,8.06E-05,0.028500793,1.574071921,1.795077209,589.5186338,406.9370208,374.567618,274.3554549,387.4787649,341.8295929,369.0249928,638.9936948,645.1875647,416.7395369,794.4833261,957.6914318,1156.899993,932.319016,1362.217773,596.523321,523.1499928,619.5438344,821.0784339,596.523321,645.5775853,600.6916595,708.3333622,881.3402566,24
FNBP1,0.652922095,9.414543949,4.691951442,8.48E-05,0.029479949,1.528847039,1.572349675,774.7135983,651.7155989,340.9833261,479.3711262,471.3624132,360.2946653,629.1192242,477.3851342,843.6615993,691.9820898,850.0570651,792.4833261,1188.545347,793.5650915,931.7541758,843.3688434,631.8343545,832.4159973,824.3031458,726.1341248,894.0666728,500.5500685,666.6545395,903.3160904,24
SH3BGRL,0.539693402,10.79590792,4.680320066,8.73E-05,0.029479949,1.50184882,1.453663556,1654.222842,1220.393729,1338.566659,1489.589633,1440.952487,930.9667451,1965.925992,1278.530651,1776.007227,1941.409471,1942.504855,2321.725956,1855.260244,2309.682783,2714.054367,1994.720447,1431.337493,2278.576787,2433.488339,1831.364735,1783.615983,1629.988009,2252.147652,2133.35342,24
S100PBP,0.854737553,7.130008159,4.648137003,9.49E-05,0.029907485,1.427135568,1.808429746,149.3476199,99.39781374,107.3150322,80.74258193,81.87141371,58.54936563,94.47426939,107.9415925,155.3482377,104.9954251,189.8958553,237.7301788,293.6251153,142.1978146,258.6348724,192.6755633,122.1132056,188.5127645,235.9053977,114.034746,139.3594518,117.0092537,218.8677339,152.8000246,24
MRPS14,0.820408954,6.872022945,4.647161147,9.51E-05,0.029907485,1.424869879,1.765906495,132.5135957,64.87215284,86.9756905,81.43171522,90.10760539,44.16992711,100.4219643,70.16041532,127.8436972,109.0898671,161.1866502,186.5247062,182.0985626,117.2729874,229.6991774,179.6109238,84.02822142,154.3398395,171.637202,125.5902507,101.3882205,102.051175,167.1187002,145.9804483,24
SORD,0.442319147,6.400068001,4.646443741,9.53E-05,0.029907485,1.423204236,1.358786837,60.33352458,66.08088701,65.47220088,74.65828011,72.19824822,62.74120952,71.1403456,80.3145275,91.80790916,96.74035326,148.5956802,89.02717638,97.75701051,93.04637924,85.95422632,105.8866172,76.76787352,80.44588852,96.63527741,97.426808,100.8173372,104.6919582,73.40856039,78.39249307,5
SGMS1,0.718238332,6.949428801,4.633628739,9.85E-05,0.030066194,1.393449837,1.645171896,151.9400634,91.50191717,78.9046747,70.26788694,77.55504758,85.83630873,92.41875504,80.67927674,139.102474,97.32156373,147.6668839,149.6668818,277.1078155,185.1816863,182.9585344,140.3635395,115.2438203,135.7970644,153.2055557,99.60431506,124.0097647,119.6609273,158.7885172,190.0275645,24
MAF,1.134982229,8.662269493,4.617269112,0.000102773,0.030188155,1.355462728,2.196158575,299.9292835,176.5015411,191.2349446,223.6994346,216.0280279,169.4920726,402.3904269,327.5748596,393.0587868,411.4391156,1326.398941,882.2118105,525.6691543,1011.654474,974.6499928,592.060144,427.5206156,390.5901979,318.576467,506.9178714,404.2662978,416.3156887,272.0016521,487.9694767,24
PLXNA1,-0.621408518,9.685441377,-4.616162643,0.000103067,0.030188155,1.35289341,-1.538376381,1292.840707,927.6291595,1304.951567,972.6148542,954.0576218,917.4902475,1026.649326,1536.318764,585.1288036,846.0476416,755.3850226,576.4302525,392.2216051,699.2639571,618.8733498,714.3497281,933.71795,723.2574362,630.5887675,885.4988855,699.0460365,1008.462493,848.7214431,761.1083261,24
KDSR,0.444019645,8.988873594,4.598790989,0.000107793,0.030188155,1.312553523,1.360389377,436.7365547,450.4359454,479.7275825,388.8412658,403.8166595,359.7325299,486.3191759,331.7333261,771.2271763,534.5521798,535.6935927,567.2620703,719.8342575,636.5901274,507.4500489,680.1424462,501.2849948,476.3690262,562.1563078,551.5821776,634.0655614,497.4039823,461.8958129,476.1662807,24
KCNJ4,-1.148413496,10.11526688,-4.591523225,0.000109834,0.030188155,1.295675904,-2.216699941,1487.684333,1942.654521,1662.629036,1800.233326,2479.229304,1898.46069,1827.47642,2148.619568,599.08813,1810.413912,741.2660637,420.4416595,313.5972673,689.6318689,453.5263248,1146.822893,1575.921134,1051.361684,766.7938928,1172.117327,926.1354948,1411.047239,1274.274993,797.5487099,24
TUBBP5,-0.468792371,5.092128279,-4.590381022,0.000110158,0.030188155,1.293023385,-1.383950527,46.88640926,37.79028632,47.83699395,45.93791783,53.58535632,32.29549951,35.01963561,43.93875523,30.78436403,35.973267,21.37391966,26.79161877,28.01945884,29.59704759,29.93541148,30.51047086,32.80589221,31.2120319,23.55765372,33.13342859,32.3775487,35.13677603,35.981311,37.77461158,7
PRKD3,1.428705903,6.056331899,4.590373353,0.00011016,0.030188155,1.293005574,2.692051301,64.79656948,44.82387922,48.76482289,16.59454991,29.22143343,24.04642567,42.40025848,27.92985105,74.02165089,43.83120402,182.2251817,180.612221,188.9533978,131.1897937,184.2893102,117.6275796,40.39132483,89.03661736,121.0885345,50.46560227,64.24264508,40.49043452,79.62426211,111.4398591,23
TMEM47,1.031371786,10.23860923,4.586355331,0.000111309,0.030188155,1.283674527,2.043966833,1285.691551,523.0586641,1019.899343,602.8582403,784.4331714,299.051377,1054.218919,980.5622343,1403.388082,1081.349298,2006.608326,2153.35182,1385.212493,2455.92811,2207.480691,1898.237823,756.1424646,1446.578685,1407.957122,1798.975406,1250.5052,998.0817327,1643.614918,1756.318861,24
FGFR2,0.849269135,8.479952845,4.582638489,0.000112381,0.030188155,1.275042835,1.801588015,247.3444852,268.6666246,167.6444362,219.8569103,290.2895523,103.0719283,456.126461,342.107929,467.6609443,385.4368203,371.7914954,371.8851062,575.5731534,425.4056743,408.9649084,594.6916595,325.5219772,512.1465062,483.479251,469.5471321,559.7009945,297.105305,352.6984869,488.9255376,24
SV2C,-1.883446837,7.297033213,-4.577739764,0.000113811,0.030188155,1.26366633,-3.689555037,159.8618252,337.4833261,224.5173134,633.1250238,409.3999928,1629.949375,490.4124352,157.488369,73.74458927,395.7720439,38.19340954,51.66290457,53.38272321,35.96103947,75.96798514,176.1732503,232.5240576,133.5775001,96.96569905,130.7365986,163.1112856,114.306846,128.49441,94.91823714,20
SLC39A8,0.808971522,6.501996006,4.577673307,0.000113831,0.030188155,1.263511994,1.751962047,72.98712701,62.63257055,53.79582578,50.11692711,52.88390493,63.6557176,98.31718201,56.10459015,159.3095486,81.82327951,150.5068337,141.1812012,191.3667367,97.31953376,154.4384338,143.0962791,93.3302573,96.47000819,83.15177204,71.40673544,132.069528,76.49639264,77.99206649,85.9231481,24
EMC2,0.816424888,8.857132365,4.556322819,0.000120278,0.03126467,1.21392792,1.761036593,495.4686478,283.6611789,276.2876426,284.8724755,295.4742548,256.3354454,451.7550633,276.2333264,551.5628476,433.4900335,477.4766033,652.8596909,722.6451811,496.4941249,897.5014125,569.1095897,348.6384957,692.6792871,1067.528741,392.2106641,429.2145116,377.2224722,682.1201857,613.2100481,24
APOD,1.248784467,11.5885868,4.55497701,0.000120697,0.03126467,1.210802397,2.376411157,2139.114634,636.349821,2002.415508,2446.425129,1873.459809,1593.909641,2324.376912,1728.82888,4345.704409,3099.007341,11280.77499,6530.804738,6265.526317,5810.565228,3242.936886,5895.679336,2073.649993,4304.983326,4029.636337,4773.106772,4675.458874,2670.214161,2218.0417,2017.251951,24
SLIT1,-0.626625669,5.325820405,-4.539621201,0.000125575,0.031675031,1.175139796,-1.543949611,47.56295092,43.63724531,66.72565445,57.52725688,53.03896243,39.23542679,45.93150997,89.17027716,39.2276115,43.60750331,28.72059359,29.56189244,29.99278127,43.90122819,27.99173514,29.44018361,43.31750225,28.50561468,38.69837987,30.83739466,32.53317601,55.33134442,33.04028584,32.01957317,4
GPR125,1.31974301,8.363423237,4.529714487,0.000128827,0.031675031,1.152132331,2.496216402,318.4210943,59.21497061,290.3791595,159.3285175,158.770575,67.06660985,435.8176179,260.0267641,538.9697591,380.9781939,581.6499928,233.8905398,333.8816987,808.3166595,386.2695909,572.4285462,327.3969927,457.8481225,532.3583261,631.8795879,612.9761945,333.7620709,342.1032874,428.0569586,23
IL11RA,0.619121568,6.397034337,4.528005575,0.000129396,0.031675031,1.148163551,1.53593969,79.98895114,53.87053472,51.75819087,73.86144342,61.62639104,39.87321278,82.36287346,77.38211434,68.90561988,87.41331109,117.6935546,113.709576,101.3050558,98.4045389,144.1861731,117.6842296,82.88631592,79.0556244,88.48185138,77.24086927,131.8184273,98.50913869,88.03599587,91.47092561,19
