Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL,P_LC.04.06.CEL,P_LC.299.99.CEL,P_LC.96.06.CEL
RICTOR,-0.606707357,5.662851183,-2.011888301,0.073968347,0.482143461,-4.259053426,-1.52277982,74.60419332,54.0490149,59.7495791,54.51990628,53.04901629,56.27095962,21.71805958,68.27968341,37.8161626
NQO1,-0.68935416,2.653994175,-2.011227315,0.07404822,0.482204193,-4.259990938,-1.612561474,6.541291226,9.787254793,7.165071324,11.65220629,6.974495913,4.336684252,3.120096766,7.396507285,4.154973443
SLC19A2,0.900004809,4.612986307,2.010872591,0.074091118,0.482204855,-4.260494018,1.866072204,13.61699292,37.0130091,20.93359378,28.78118316,22.05645402,9.206676129,36.56856465,59.91396131,23.28963502
DIS3L2,0.537794326,3.487114936,2.010399205,0.074148404,0.482204855,-4.26116534,1.4517513,6.109214642,9.355051608,11.50404165,11.50404165,10.83901482,11.50404165,9.72475667,19.454697,15.70579104
SESN1,-0.683585174,4.757401846,-2.010340627,0.074155495,0.482204855,-4.261248408,-1.606126109,27.74532353,33.4356635,25.72976273,38.00714424,31.5447975,35.29024911,15.01644218,41.51375357,12.3039239
SERP1,-0.834391464,2.934570499,-2.00912783,0.074302464,0.482382921,-4.262968045,-1.783104757,19.99487148,14.67619875,5.972082587,6.439960071,8.509541293,6.611025817,3.850939014,7.421247539,4.917948283
FAM46A,-0.526003421,4.281391603,-2.008133852,0.074423123,0.482382921,-4.264377151,-1.439934732,19.11240599,35.31123598,19.33901733,30.35879069,15.27767077,18.52017517,14.00953295,15.68975857,16.13453132
ZC3H10,-0.322368467,2.50015522,-2.008063251,0.0744317,0.482382921,-4.26447723,-1.250381612,6.793641826,5.721094143,5.597661898,5.721094143,5.292761383,7.781541418,4.801282639,5.721094143,4.21641764
SCAMP3,-0.810115293,4.492654841,-2.007815748,0.074461777,0.482382921,-4.264828059,-1.753351556,19.18684173,37.80943009,29.80727904,60.56059746,19.18684173,15.92801322,17.34318873,17.77319345,12.04035182
SLC11A2,-0.819142784,3.992139472,-2.00765069,0.074481841,0.482382921,-4.265062016,-1.764357341,25.77328047,17.7423974,26.16377495,17.16297873,17.16297873,14.34259478,6.514970807,25.67970473,7.737231409
SLC16A6,-0.421568309,1.881642098,-2.007354437,0.074517866,0.482382921,-4.265481916,-1.339382765,3.667450711,3.008942807,4.791488788,5.798720075,3.306413094,4.430530566,3.306413094,2.805603832,3.006763486
VAPA,0.658775128,1.29174472,2.007051994,0.074554661,0.482382921,-4.265910568,1.578741676,1.729914036,2.416547783,2.031026044,2.912759328,1.661529936,2.102582876,6.439960071,2.223548983,2.55419467
NGDN,-0.776701504,3.406716489,-2.006970983,0.07456452,0.482382921,-4.26602538,-1.713209407,11.80170412,17.16297873,16.83398294,17.51194591,9.985940053,7.003519952,5.425056179,13.75753512,5.445098986
ITIH5,-1.31790322,3.311434086,-2.006271953,0.07464964,0.482382921,-4.267016015,-2.493035143,33.24168471,6.108526565,11.87440016,6.027970319,16.85758655,24.2831519,3.073798031,3.779182383,13.55167524
LRCH3,0.920845619,1.790384891,2.005500023,0.074743744,0.482382921,-4.26810982,1.89322466,2.291455766,1.800086569,2.400258793,1.711209633,3.494228004,8.07301268,6.704229381,3.968265627,5.576136194
CAP1,-0.597783968,7.044750548,-2.005212946,0.07477877,0.482382921,-4.268516564,-1.513390157,129.1044595,262.9443978,153.7496751,139.8036412,171.9930822,96.68082245,79.16873788,138.025959,91.96601652
ZNF225,0.387467431,1.856211685,2.00512033,0.074790073,0.482382921,-4.268647783,1.3080951,2.882158328,2.570565591,3.641141028,3.935284489,3.146223816,3.941159052,3.877611779,3.728949961,5.616347131
DNAJC5,-0.715136939,4.947561214,-2.005064861,0.074796844,0.482382921,-4.26872637,-1.641639033,22.34512607,63.49092199,45.66879674,40.2100404,34.60810372,25.80566163,18.40906406,35.4178915,16.7218083
ZNF148,-0.515727033,1.68808125,-2.004899373,0.074817046,0.482382921,-4.268960825,-1.42971445,3.724477894,4.191804073,3.533862675,5.618080564,2.551155854,2.893584455,3.334918041,2.420772529,2.027456353
AGPAT5,-0.662410299,4.299712306,-2.004889399,0.074818264,0.482382921,-4.268974956,-1.582724662,24.2018783,29.58569075,22.84519057,34.792017,18.65209432,13.76994543,10.27363447,23.23549891,12.7743932
ZBTB20,-1.064696667,4.318634322,-2.00454039,0.074860889,0.482382921,-4.269469393,-2.091730037,58.00157884,14.5844698,17.02868676,13.01047792,27.80610364,53.00258946,9.235334949,10.29999747,19.09037143
RBMS3,-0.446876274,2.190602813,-2.004040473,0.074921984,0.482605967,-4.270177568,-1.363085703,4.288377626,6.493862116,5.637837391,4.774769806,6.152282994,3.645624083,2.83450037,4.538576027,3.97987111
COL24A1,0.734517624,1.983377627,2.003365808,0.07500451,0.482818006,-4.271133193,1.663841059,3.255518199,2.692361927,6.366892001,3.9577005,2.509839524,2.490825735,4.446223911,9.672345743,3.97987111
ANKRD6,-0.842550884,3.868661725,-2.003124154,0.07503409,0.482818006,-4.271475454,-1.793217997,17.43590529,16.59388489,26.56133261,34.17615502,9.744640389,12.20770594,10.02505124,15.48826399,6.243011658
CLN5,-0.269702191,0.830787209,-2.003049684,0.075043208,0.482818006,-4.271580926,-1.205558944,1.950317521,2.207872178,1.957815687,1.816970139,1.816970139,1.653413526,1.384063056,1.816970139,1.539554419
PRIMA1,0.602596487,6.140490126,2.002745955,0.075080407,0.482836054,-4.27201108,1.51844693,84.21591531,52.58904372,67.26626742,79.01334993,31.1290128,72.95893085,107.9375267,94.47568369,79.3819711
WFS1,-0.794373603,2.892897639,-2.002125592,0.07515644,0.483034957,-4.272889597,-1.734324192,7.53235865,15.06643245,14.38800021,8.931092282,8.217997091,4.214459952,6.468966151,6.062241723,3.473907086
FRZB,-1.299503468,2.872734168,-2.001736153,0.075204208,0.483071189,-4.273441045,-2.461441528,24.25618818,3.787529979,26.27119747,11.60321204,7.105792186,4.701156826,2.506507832,5.037341754,5.136744126
TMEM18,-0.931999676,4.279303116,-2.00138962,0.075246738,0.483071189,-4.273931706,-1.907918673,14.24962989,38.23800734,38.12006155,43.69719975,18.58272938,11.56899859,9.958599107,18.21927856,11.08527963
RAB21,-0.38858526,2.53159191,-2.001204384,0.075269481,0.483071189,-4.274193974,-1.309109032,4.538576027,7.670858679,6.232798254,7.206528569,6.439960071,6.359255799,3.814966527,5.034491302,5.872964021
LOC729966 ,1.303509961,7.193709309,2.000969526,0.075298326,0.483071189,-4.274526486,2.46828667,207.8415439,124.0226266,56.35472999,30.23587068,143.9091427,255.6041933,369.7952223,159.0822388,324.9189582
COX10-AS1,0.500315941,1.579018503,2.000912023,0.07530539,0.483071189,-4.274607896,1.4145233,1.748060956,2.394372263,3.786765059,3.10551645,2.689924735,2.684607614,3.329828537,3.119734064,5.136609661
LITAF,-0.727017412,4.436359712,-2.000727532,0.075328058,0.483071189,-4.274869087,-1.655213609,54.25392379,36.11746076,15.59467993,19.25133213,21.4299365,22.3854417,12.9545323,16.70579098,17.11729583
CYB561D2,-0.536427368,2.35226083,-1.999883594,0.075431835,0.483071189,-4.276063772,-1.450376412,3.896639765,6.075923924,7.93200282,8.720724313,3.997762428,5.695251096,4.203439455,3.891971121,3.868720376
LAMTOR4,-0.563401707,3.589898064,-1.999846412,0.075436411,0.483071189,-4.276116404,-1.477749474,11.65381877,15.35348887,12.71550078,19.86211958,8.17796392,18.01042781,7.286421945,11.65381877,9.414923426
RND2,-0.44824801,3.575667947,-1.999656733,0.075459755,0.483110317,-4.276384889,-1.364382362,14.10213535,13.59379675,17.40906406,16.15713412,11.30642431,8.771651096,8.046233698,10.00828825,11.30642431
MESP2,0.409738837,3.621426328,1.999216129,0.075514008,0.483174769,-4.277008517,1.328445312,9.476048093,10.39849806,8.97858976,10.85771267,12.35494789,16.5910964,16.15023544,12.35494789,16.48699249
MPDZ,-1.177937141,4.388734198,-1.998876198,0.07555589,0.483207662,-4.27748962,-2.262530343,71.88930623,11.91047417,18.38606518,13.56939569,41.62486468,48.64488301,13.14993626,8.227290668,16.59787908
KIAA0319L,-0.592771201,4.204664272,-1.998489605,0.075603549,0.483207662,-4.278036731,-1.50814088,16.7014466,36.50622662,19.52996414,23.62296835,18.54789024,17.13218531,9.367985051,19.52996414,15.06463949
TRIM23,-0.760688854,2.860320302,-1.998314028,0.075625203,0.483207662,-4.278285196,-1.694299421,9.634289837,13.27611539,5.395934838,12.74309093,6.555039862,7.301734409,6.229503719,7.589880328,2.821356211
SLC17A5,0.941329557,4.6044075,1.997487257,0.075727249,0.483590852,-4.279455089,1.920297128,11.48574912,37.34634243,22.84519057,30.61980557,21.52381467,8.700173137,25.17036529,56.17479599,37.54050858
HMGB1P4 ,-0.36947133,3.852327044,-1.997086648,0.075776742,0.483590852,-4.280021896,-1.29187934,20.89917133,14.90182157,16.54065957,12.39132226,14.90182157,15.92801322,14.90182157,9.910933351,12.22362899
SRSF10,-0.693758908,2.873043677,-1.996890087,0.075801037,0.483590852,-4.280299989,-1.617492372,19.14867669,8.511468908,8.010902648,7.581087775,7.581087775,5.390519832,4.060294129,6.043589281,6.124632815
TAF4,0.450865538,2.748910389,1.996392884,0.075862525,0.483593744,-4.281003383,1.366860052,7.092679027,4.68489937,7.574422599,4.564585117,6.027113891,7.131944919,8.292309958,10.69832997,6.396906953
