Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold.Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
ABCA17P,0.045209263,4.321050102,0.285292,0.780431208,0.9367657,-5.257514518,1.031832836,19.2407417,20.84206321,18.64468022,21.56595936,28.17615098,17.07749085,23.88237281,17.7013624,19.01523079,16.31846105,6
TIPARP,0.041403879,7.630690485,0.285085285,0.780585694,0.936776313,-5.257562187,1.029114766,193.3136314,233.5557665,162.3203973,201.3788911,269.0586864,193.1924218,201.2924218,188.4329392,164.7582933,194.9658215,10
SH3BGRL2,-0.045855774,6.200894946,-0.284986802,0.780659297,0.936803391,-5.257584885,-1.032295332,87.46073738,76.60111977,63.51937368,96.16197104,64.43451721,91.45217228,65.42754622,66.63026205,59.87607892,73.72212773,9
WIPF3,-0.103362749,9.454457723,-0.284984623,0.780660926,0.936803391,-5.257585387,-1.074274551,591.2481819,1359.213677,499.4714308,741.742633,536.336435,630.960018,475.0947509,545.9482812,716.1289492,1543.725646,10
TMEM67,0.035091718,2.868797452,0.284696978,0.780875916,0.9369803,-5.257651639,1.02462196,8.057169393,7.046142388,6.523259549,9.207352338,6.089050692,6.75716139,7.457106113,8.007109513,7.482234336,6.89947801,3
ARAP1,-0.031288605,6.858122927,-0.284695666,0.780876897,0.9369803,-5.257651941,-1.021924494,116.2957739,117.4006111,119.6871022,134.5356295,94.24680184,103.9055883,119.6204807,120.5056529,111.1287173,128.0393318,9
C11orf68,-0.029184099,8.484582209,-0.284613392,0.780938394,0.937008195,-5.257670878,-1.020434866,359.2924218,378.5651138,352.5345586,353.7504563,334.9860629,291.9142332,408.0678638,372.2924218,357.5742131,385.8205106,10
LOC100507316,-0.114297717,4.875478807,-0.284573816,0.780967976,0.937008195,-5.257679986,-1.082447997,22.6263598,40.98509344,32.2114489,20.11980503,14.74844828,29.5172163,22.02076184,39.86142202,27.66354442,74.75914323,8
RABGGTA,0.038564228,6.306668372,0.284445441,0.781063935,0.937042276,-5.25770952,1.027091155,73.35940824,86.38964349,73.99334807,94.03941172,62.4616109,69.49114144,86.56220142,92.83908077,85.83194133,73.16321087,10
SLC38A4,0.15474073,5.05207158,0.284225087,0.781228657,0.937078553,-5.257760184,1.11322154,31.44317325,25.82351768,35.90146119,17.62753256,58.08655346,117.4299895,47.21076471,29.11866976,25.59892554,13.09533171,8
