"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_155_Cytoplasm","Control_159_Cytoplasm","Control_170_Cytoplasm","Control_2303_Cytoplasm","Patient_55_Cytoplasm","Patient_192_Cytoplasm","Patient_193_Cytoplasm","Patient_194_Cytoplasm","Patient_48_Cytoplasm","Patient_51_Cytoplasm","hgnc_symbol"
"ENSG00000143355",242.569341596182,3.10596517878771,0.611797404021878,5.07678711673095,3.83870551804144e-07,0.00511968154941187,37.7163841476203,67.5501863264304,19.8086222614549,49.8042634673479,261.626721995497,584.02216526497,447.85951882644,756.450773346752,28.1440451164978,172.710735208809,"LHX9"
"ENSG00000134202",333.991949884785,1.85859329917753,0.379705437568207,4.89482929473104,9.83910970460858e-07,0.00656121030651823,166.338924958736,115.614741981775,67.6794593933043,169.334495788983,296.051290679115,358.135906302981,469.685031439815,669.204866661639,241.830313593611,786.044468047897,"GSTM3"
"ENSG00000167641",102.089413703738,2.7078379027231,0.569780840304855,4.75242007308337,2.00996234245273e-06,0.00893562258709736,40.617644466668,28.578924984259,14.8564666960912,10.8663847565123,56.4562926411335,44.4049910779977,162.381813843505,130.389486914016,399.228491837728,133.113639819472,"PPP1R14A"
"ENSG00000259867",30.6353631671498,2.62024583263199,0.586983670982647,4.46391605450547,8.04751039266325e-06,0.0268324115267374,5.80252063809543,9.09329431317332,11.5550296525154,3.62212825217076,37.1785341783074,27.0291250039986,83.8099684353572,63.2772510023899,9.38134837216593,55.6044318233239,""
"ENSG00000072163",816.749773824465,1.16471988125185,0.267524291346341,4.35369766009019,0.0000133860289374182,0.0347170629924631,455.497870090491,452.066631569188,445.694000882736,518.869872123461,928.086371710341,811.839076012958,1331.35626941583,1687.39336006373,777.60954284842,759.084743527497,"LIMS2"
"ENSG00000154096",2182.12800710785,1.0928637650608,0.252990524981496,4.31978140343686,0.0000156183832912033,0.0347170629924631,1349.08604835719,1080.80298122289,1019.31868720403,1746.77134960935,2635.54497841779,2043.59491548089,3452.79609543581,3654.74061850167,1942.9814850797,2895.64291176915,"THY1"
"ENSG00000188783",75.926281361648,2.70074816741864,0.651648965100025,4.14448316817949,0.0000340580969861749,0.0648904056435164,21.2759090063499,18.1865886263466,13.2057481743033,18.1106412608538,37.1785341783074,35.7170580409981,78.5718454081474,308.716285193478,21.8898128683872,206.410390859308,"PRELP"
"ENSG00000141753",14724.6934898421,1.37206152896364,0.33547014693214,4.08996610133894,0.0000431436239959639,0.0719258141542713,7656.42598196692,8429.48382831167,8109.15473828311,5962.92863513611,14127.8429877568,11633.1423365424,26009.0268711059,36445.779084922,11902.8463401959,16970.3040942002,"IGFBP4"
"ENSG00000171533",164.926941326733,1.43121720683623,0.352712002156359,4.05775022705851,0.0000495477175323305,0.0734242120809658,103.478284712702,70.1482704159085,72.6316149586681,80.5923536107993,191.400601880916,80.1220491189958,178.969203429669,298.17007669308,263.720126461998,310.036831984594,"MAP6"
"ENSG00000151572",15.0093236327789,4.03618888295331,1.01396205862467,3.98061135386856,0.0000687382551779159,0.0859764332978081,5.80252063809543,0,0,0,37.1785341783074,7.7226071439996,7.85718454081474,7.6699698184715,37.5253934886637,46.3370265194366,"ANO4"
"ENSG00000231672",31.8516039883857,2.50277918348133,0.62991395016775,3.97320805931481,0.0000709110569300359,0.0859764332978081,14.5063015952386,3.89712613421714,5.77751482625769,9.05532063042689,86.7499130827173,8.68793303699955,55.8733122902382,60.4010123204631,14.5932085789248,58.9743973883738,"DIRC3"
"ENSG00000103175",6.21157439568849,5.10575525541816,1.3017764470608,3.92214444111824,0.000087764350410254,0.0975427617851298,0.967086773015906,0,0,0,1.37698274734472,14.4798883949993,3.49208201813988,8.62871604578044,10.4237204135177,22.747267564087,"WFDC1"
"ENSG00000113732",1143.16583166815,1.27184313682923,0.328026655565579,3.87725544631834,0.000105641426316161,0.108379977136819,602.495059588909,468.954178150796,644.605582758179,757.024804703688,1009.32835380368,1000.07762514795,2199.13865092359,2193.61136808285,788.033263261938,1768.38943025995,"ATP6V0E1"
"ENSG00000197381",1040.6408510344,1.51585707497295,0.397297049735339,3.81542494710882,0.000135948773312855,0.129510627833824,684.697435295261,328.657637318979,333.445141401158,620.289463184242,1294.36378250404,728.821049214962,1557.46858009039,2839.80632528907,691.092663416223,1327.76643262967,"ADARB1"
"ENSG00000173267",29.4170456594991,1.50498959594868,0.39858688638685,3.77581312218087,0.000159486534131694,0.141804793714294,25.1442560984135,12.9904204473905,9.07895186983351,9.05532063042689,37.1785341783074,33.7864062549982,41.0319637131436,48.8960575927558,28.1440451164978,48.864500693224,"SNCG"
"ENSG00000164713",2034.27753600552,0.772041934625597,0.206194563734235,3.74424000634996,0.00018094063137018,0.150825325036505,1252.3773710556,1541.96290710525,1699.41471818065,1218.84615685546,1955.3155012295,2199.97771014689,3066.04801192682,3023.88560093239,2024.28650430514,2360.66087831748,"BRI3"
"ENSG00000140450",465.363620046535,0.939396573787263,0.252654543263609,3.71810679377784,0.000200721418751523,0.154880681607697,426.485266900014,233.827568053028,322.715471009536,217.327695130245,424.110686182174,633.253785807967,645.162152851344,515.805470292209,504.508068014256,730.440036224573,"ARRDC4"
"ENSG00000182901",27.698878760444,2.06075981412134,0.559331143701512,3.68432875109324,0.000229306129735541,0.154880681607697,10.637954503175,7.79425226843427,13.2057481743033,6.33872444129882,44.063447915031,74.3300937609961,20.0794716043043,25.8861481373413,11.4660924548695,63.1868543446862,"RGS7"
